"REF_DATE","GEO","DGUID","Investment income","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1961-01","Canada","2016A000011124","Total investment income, receipts","Dollars","81","millions","6","v112599","1.1","48","","","","0"
"1961-01","Canada","2016A000011124","Total interest, receipts","Dollars","81","millions","6","v112600","1.2","34","","","","0"
"1961-01","Canada","2016A000011124","Total dividends, receipts","Dollars","81","millions","6","v112601","1.3","27","","","","0"
"1961-01","Canada","2016A000011124","Total reinvested earnings, receipts","Dollars","81","millions","6","v112602","1.4","-13","","","","0"
"1961-01","Canada","2016A000011124","Direct investment income, receipts","Dollars","81","millions","6","v112603","1.5","5","","","","0"
"1961-01","Canada","2016A000011124","Direct investment, interest, receipts","Dollars","81","millions","6","v112604","1.6","0","","","","0"
"1961-01","Canada","2016A000011124","Direct investment, profits, receipts","Dollars","81","millions","6","v112611","1.7","5","","","","0"
"1961-01","Canada","2016A000011124","Direct investment, dividends, receipts","Dollars","81","millions","6","v112605","1.8","18","","","","0"
"1961-01","Canada","2016A000011124","Direct investment, reinvested earnings, receipts","Dollars","81","millions","6","v112606","1.9","-13","","","","0"
"1961-01","Canada","2016A000011124","Portfolio investment income, receipts","Dollars","81","millions","6","v112607","1.10","21","","","","0"
"1961-01","Canada","2016A000011124","Portfolio investment, interest on debt securities, receipts","Dollars","81","millions","6","v112608","1.11","12","","","","0"
"1961-01","Canada","2016A000011124","Portfolio investment, interest, foreign bonds, receipts","Dollars","81","millions","6","v30426192","1.57","12","","","","0"
"1961-01","Canada","2016A000011124","Portfolio investment, dividends on equity and investment fund shares, receipts","Dollars","81","millions","6","v112609","1.12","9","","","","0"
"1961-01","Canada","2016A000011124","Other investment income (interest), receipts","Dollars","81","millions","6","v112610","1.13","22","","","","0"
"1961-01","Canada","2016A000011124","Total investment income, payments","Dollars","81","millions","6","v112612","1.14","311","","","","0"
