Release Date,Time,Actual,Forecast,Previous,
"Aug 07, 2019 (Jul)",10:00, ,55.0,52.4,
"Jul 05, 2019 (Jun)",10:00,52.4,55.0,55.9,
"Jun 06, 2019 (May)",10:00,55.9,56.2,55.9,
"May 07, 2019 (Apr)",10:00,55.9,51.5,54.3,
"Apr 04, 2019 (Mar)",10:00,54.3,51.1,50.6,
"Mar 06, 2019 (Feb)",11:00,50.6,55.1,54.7,
"Feb 06, 2019 (Jan)",11:00,54.7,56.4,59.7,
"Jan 07, 2019 (Dec)",11:00,59.7,58.1,57.2,
"Dec 06, 2018 (Nov)",11:00,57.2,60.3,61.8,
"Nov 07, 2018 (Oct)",11:00,61.8,50.9,50.4,
"Oct 04, 2018 (Sep)",10:00,50.4,62.3,61.9,
"Sep 07, 2018 (Aug)",10:00,61.9,61.4,61.8,
"Aug 07, 2018 (Jul)",10:00,61.8,64.2,63.1,
"Jul 06, 2018 (Jun)",10:00,63.1,63.2,62.5,
"Jun 06, 2018 (May)",10:00,62.5,69.7,71.5,
"May 04, 2018 (Apr)",10:00,71.5,60.2,59.8,
"Apr 06, 2018 (Mar)",10:00,59.8,60.2,59.6,
"Mar 06, 2018 (Feb)",11:00,59.6,56.3,55.2,
"Feb 06, 2018 (Jan)",11:00,55.2,61.0,60.4,
"Jan 05, 2018 (Dec)",11:00,60.4,62.2,63.0,
"Dec 07, 2017 (Nov)",11:00,63.0,62.7,63.8,
"Nov 06, 2017 (Oct)",11:00,63.8,60.2,59.6,
"Oct 06, 2017 (Sep)",10:00,59.6,57.2,56.3,
"Sep 07, 2017 (Aug)",10:00,56.3,61.3,60.0,
"Aug 04, 2017 (Jul)",10:00,60.0,59.2,61.6,
"Jul 07, 2017 (Jun)",10:00,61.6,57.7,53.8,
"Jun 06, 2017 (May)",10:00,53.8,62.0,62.4,
"May 05, 2017 (Apr)",10:00,62.4,62.3,61.1,
"Apr 07, 2017 (Mar)",10:00,61.1,56.3,55.0,
"Mar 07, 2017 (Feb)",11:00,55.0,58.9,57.2,
"Feb 07, 2017 (Jan)",11:00,57.2,58.3,60.8,
"Jan 06, 2017 (Dec)",11:00,60.8, ,56.8,
"Dec 06, 2016 (Nov)",11:00,56.8,59.9,59.7,
"Nov 04, 2016 (Oct)",10:00,59.7, ,58.4,
"Oct 07, 2016 (Sep)",10:00,58.4,53.0,52.3,
"Sep 07, 2016 (Aug)",10:00,52.3,55.4,57.0,
"Aug 05, 2016 (Jul)",10:00,57.0,50.9,51.7,
"Jul 07, 2016 (Jun)",10:00,51.7,51.0,49.4,
"Jun 07, 2016 (May)",10:00,49.4,51.5,53.1,
"May 06, 2016 (Apr)",10:00,53.1,52.5,50.1,
"Apr 06, 2016 (Mar)",10:00,50.1,55.0,53.4,
"Mar 04, 2016 (Feb)",11:00,53.4,59.0,66.0,
"Feb 05, 2016 (Jan)",11:00,66.0,50.0,49.9,
"Jan 07, 2016 (Dec)",11:00,49.9,56.7,63.6,
"Dec 04, 2015 (Nov)",11:00,63.6,55.3,53.1,
"Nov 05, 2015 (Oct)",11:00,53.1,54.0,53.7,
"Oct 06, 2015 (Sep)",10:00,53.7,54.0,58.0,
"Sep 04, 2015 (Aug)",10:00,58.0,52.0,52.9,
"Aug 07, 2015 (Jul)",10:00,52.9,52.0,55.9,
"Jul 06, 2015 (Jun)",10:00,55.9,54.0,62.3,
"Jun 04, 2015 (May)",10:00,62.3,55.5,58.2,
"May 06, 2015 (Apr)",10:00,58.2,49.2,47.9,
"Apr 06, 2015 (Mar)",10:00,47.9,51.1,49.7,
"Mar 05, 2015 (Feb)",11:00,49.7,46.2,45.4,
"Feb 04, 2015 (Jan)",11:00,45.4,54.0,55.4,
"Jan 07, 2015 (Dec)",11:00,55.4,52.3,56.9,
"Dec 04, 2014 (Nov)",11:00,56.9,53.2,51.2,
"Nov 06, 2014 (Oct)",11:00,51.2,57.0,58.6,
"Oct 06, 2014 (Sep)",10:00,58.6,53.0,50.9,
