"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 19","56,273.92","56,573.94","57,223.61","55,893.37","-","-0.90%"
"Jul 19","56,784.61","58,683.53","58,987.52","56,784.61","4.90B","-2.44%"
"Jun 19","58,203.84","55,821.10","59,273.23","55,650.41","5.05B","4.59%"
"May 19","55,650.41","58,606.53","59,365.04","54,107.18","5.58B","-4.92%"
"Apr 19","58,528.40","56,920.69","59,544.80","56,462.55","4.37B","3.66%"
"Mar 19","56,462.55","56,039.81","57,138.36","55,144.23","5.76B","0.82%"
"Feb 19","56,002.08","54,084.20","56,688.63","53,244.18","4.93B","3.41%"
"Jan 19","54,156.75","52,259.74","54,504.57","50,907.45","4.51B","2.69%"
"Dec 18","52,736.86","52,011.24","52,801.37","50,078.56","4.46B","4.09%"
"Nov 18","50,663.94","52,503.57","55,252.70","50,344.62","5.93B","-3.29%"
"Oct 18","52,388.87","55,605.50","56,017.80","50,032.74","6.69B","-5.96%"
"Sep 18","55,708.47","58,594.28","59,165.46","55,030.26","6.56B","-5.05%"
"Aug 18","58,668.48","57,646.11","60,298.84","55,646.15","5.34B","2.15%"
"Jul 18","57,432.46","56,696.47","58,334.49","55,090.50","5.34B","-0.31%"
"Jun 18","57,610.98","56,595.33","58,793.99","54,286.27","6.40B","2.59%"
"May 18","56,157.89","58,269.74","58,723.51","55,274.00","5.60B","-3.60%"
"Apr 18","58,252.12","55,305.91","58,252.12","53,027.38","4.23B","5.01%"
"Mar 18","55,474.52","58,272.66","59,705.16","54,572.35","6.86B","-4.89%"
"Feb 18","58,325.09","59,456.87","60,038.35","55,090.23","7.15B","-1.98%"
"Jan 18","59,506.12","59,728.85","61,776.68","59,008.78","6.01B","0.00%"
"Dec 17","59,504.67","59,651.21","59,998.05","57,152.27","9.19B","-0.45%"
"Nov 17","59,772.83","59,387.93","61,298.60","59,185.21","5.74B","1.34%"
"Oct 17","58,980.11","55,838.58","59,038.37","55,778.27","6.96B","6.12%"
"Sep 17","55,579.92","56,602.19","56,655.09","54,894.11","6.19B","-1.67%"
