Release Date,Time,Actual,Forecast,Previous,
"Aug 01, 2019 (Jul)",02:30,52.0,50.5,52.0,
"Jul 01, 2019 (Jun)",02:30,52.0,50.6,53.1,
"Jun 03, 2019 (May)",02:30,53.1,50.6,50.9,
"May 02, 2019 (Apr)",02:30,50.9,51.0,52.5,
"Apr 01, 2019 (Mar)",02:30,52.8,51.0,52.7,
"Mar 01, 2019 (Feb)",03:30,52.5, ,51.7,
"Feb 01, 2019 (Jan)",03:30,51.5,51.5,51.8,
"Jan 02, 2019 (Dec)",03:30,52.0, ,55.4,
"Dec 03, 2018 (Nov)",03:30,56.7, ,55.0,
"Nov 01, 2018 (Oct)",03:30,55.0,54.0,55.2,
"Oct 01, 2018 (Sep)",02:30,55.2,57.0,52.5,
"Sep 03, 2018 (Aug)",02:30,52.5, ,57.4,
"Aug 01, 2018 (Jul)",02:30,57.4, ,54.2,
"Jul 02, 2018 (Jun)",02:30,54.2,55.0,55.8,
"Jun 01, 2018 (May)",02:30,55.8,55.0,54.5,
"May 02, 2018 (Apr)",02:30,54.5, ,55.9,
"May 01, 2018 (Apr)",02:30,55.9,57.0,55.9,
"Apr 03, 2018 (Mar)",02:30,55.9,57.0,59.9,
"Mar 01, 2018 (Feb)",03:30,59.9,57.5,57.0,
"Feb 01, 2018 (Jan)",03:30,57.0,60.0,60.4,
"Jan 02, 2018 (Dec)",03:30,60.4, ,63.3,
"Dec 01, 2017 (Nov)",03:30,63.3, ,59.3,
"Nov 01, 2017 (Oct)",03:30,59.3,62.0,63.7,
"Oct 02, 2017 (Sep)",02:30,63.7, ,54.7,
"Sep 01, 2017 (Aug)",02:30,54.7,60.0,60.4,
"Aug 01, 2017 (Jul)",02:30,60.4, ,62.3,
"Jul 03, 2017 (Jun)",02:30,62.4,59.8,58.8,
"Jun 01, 2017 (May)",02:30,58.8,61.5,62.5,
"May 02, 2017 (Apr)",02:30,62.5,62.5,65.2,
"Apr 03, 2017 (Mar)",02:30,65.2,60.0,60.9,
"Mar 01, 2017 (Feb)",03:30,60.9, ,62.0,
"Feb 01, 2017 (Jan)",03:30,62.0,58.5,60.1,
"Jan 02, 2017 (Dec)",03:30,60.1,58.0,57.3,
"Dec 01, 2016 (Nov)",03:30,57.3,57.0,58.4,
"Nov 01, 2016 (Oct)",03:30,58.4,54.8,54.9,
"Oct 03, 2016 (Sep)",02:30,54.9,52.5,50.7,
"Sep 01, 2016 (Aug)",02:30,50.7,52.0,55.4,
"Aug 01, 2016 (Jul)",02:30,55.4,51.6,53.0,
"Jul 01, 2016 (Jun)",02:30,53.0,54.5,54.0,
"Jun 01, 2016 (May)",02:30,54.0,53.8,54.0,
"May 02, 2016 (Apr)",02:30,54.0, ,53.3,
"Apr 01, 2016 (Mar)",02:30,53.3,52.7,51.7,
"Mar 01, 2016 (Feb)",03:30,51.7,55.0,55.4,
"Feb 01, 2016 (Jan)",03:30,55.5,56.0,56.0,
"Jan 04, 2016 (Dec)",03:30,56.0,55.2,54.9,
"Dec 01, 2015 (Nov)",03:30,54.9,54.0,53.4,
"Nov 02, 2015 (Oct)",03:30,53.5,54.0,53.3,
"Oct 01, 2015 (Sep)",02:30,53.3,54.3,53.2,
"Sep 01, 2015 (Aug)",02:30,53.2,54.8,55.2,
"Aug 03, 2015 (Jul)",02:30,55.2,53.5,52.8,
"Jul 01, 2015 (Jun)",02:30,52.8,55.2,54.8,
"Jun 01, 2015 (May)",02:30,54.8,55.0,55.7,
"May 04, 2015 (Apr)",02:30,55.7,54.0,54.1,
"Apr 01, 2015 (Mar)",02:30,54.1,54.2,53.3,
"Mar 02, 2015 (Feb)",03:30,53.3,55.0,55.2,
"Feb 02, 2015 (Jan)",03:30,55.1,55.6,55.4,
"Jan 02, 2015 (Dec)",03:30,55.4,52.7,52.7,
"Dec 01, 2014 (Nov)",03:30,52.7,52.6,52.1,
"Nov 03, 2014 (Oct)",03:30,52.1,52.5,53.4,
"Oct 01, 2014 (Sep)",02:30,53.4,51.9,51.0,
"Sep 01, 2014",02:30,51.0,55.0,55.1,
"Aug 01, 2014",02:30,55.2,55.0,54.8,
"Jul 01, 2014",02:30,54.8,54.3,54.1,
"Jun 02, 2014",02:30,54.1,54.7,55.5,
"May 02, 2014",02:30,55.5,56.0,56.5,
"Apr 01, 2014",02:30,56.5,54.1,54.6,
"Mar 03, 2014",03:30,54.6,54.5,56.4,
"Feb 03, 2014",03:30,56.4,54.4,52.2,
"Jan 02, 2014",03:30,52.2,55.0,56.0,
"Dec 02, 2013",03:30,56.0,54.0,52.0,
"Nov 01, 2013",03:30,52.0,54.7,56.0,
"Oct 01, 2013",02:30,56.0,52.3,52.2,
"Sep 02, 2013",02:30,52.2,52.5,51.3,
"Aug 01, 2013",02:30,51.3,53.1,53.5,
"Jul 01, 2013",02:30,53.5,52.3,51.9,
"Jun 03, 2013",02:30,51.90,50.20,49.60,
"May 02, 2013",02:30,49.60,51.20,52.10,
