Release Date,Time,Actual,Forecast,Previous,
"Jul 30, 2019 (Jul)",21:00,53.7,54.0,54.2,
"Jun 29, 2019 (Jun)",21:00,54.2,54.1,54.3,
"May 30, 2019 (May)",21:00,54.3,54.3,54.3,
"Apr 29, 2019 (Apr)",21:00,54.3,55.0,54.8,
"Mar 30, 2019 (Mar)",21:00,54.8,54.5,54.3,
"Feb 27, 2019 (Feb)",21:00,54.3,54.5,54.7,
"Jan 30, 2019 (Jan)",21:00,54.7,53.9,53.8,
"Dec 30, 2018 (Dec)",21:00,53.8,53.2,53.4,
"Nov 29, 2018 (Nov)",21:00,53.4,53.8,53.9,
"Oct 30, 2018 (Oct)",21:00,53.9,54.9,54.9,
"Sep 29, 2018 (Sep)",21:00,54.9, ,54.2,
"Aug 30, 2018 (Aug)",21:00,54.2,53.8,54.0,
"Jul 30, 2018 (Jul)",21:00,54.0,55.0,55.0,
"Jun 29, 2018 (Jun)",21:00,55.0,54.7,54.9,
"May 30, 2018 (May)",21:00,54.9,54.8,54.8,
"Apr 29, 2018 (Apr)",21:00,54.8,54.6,54.6,
"Mar 30, 2018 (Mar)",21:00,54.6, ,54.4,
"Feb 27, 2018 (Feb)",21:00,54.4,55.0,55.3,
"Jan 30, 2018 (Jan)",21:00,55.3,55.0,55.0,
"Dec 30, 2017 (Dec)",21:00,55.0, ,54.8,
"Nov 29, 2017 (Nov)",21:00,54.8, ,54.3,
"Oct 30, 2017 (Oct)",21:00,54.3, ,55.4,
"Sep 29, 2017 (Sep)",21:00,55.4, ,53.4,
"Aug 30, 2017 (Aug)",21:00,53.4, ,54.5,
"Jul 30, 2017 (Jul)",21:00,54.5, ,54.9,
"Jun 29, 2017 (Jun)",21:00,54.9, ,54.5,
"May 30, 2017 (May)",21:00,54.5, ,54.0,
"Apr 29, 2017 (Apr)",21:00,54.0, ,55.1,
"Mar 30, 2017 (Mar)",21:00,55.1, ,54.2,
"Feb 28, 2017 (Feb)",21:00,54.2, ,54.6,
"Jan 31, 2017 (Jan)",21:00,54.6, ,54.5,
"Dec 31, 2016 (Dec)",21:00,54.5, ,54.7,
"Nov 30, 2016 (Nov)",21:00,54.7, ,54.0,
"Oct 31, 2016 (Oct)",21:00,54.0, ,53.7,
"Sep 30, 2016 (Sep)",21:00,53.7, ,53.5,
"Aug 31, 2016 (Aug)",21:00,53.5, ,53.9,
"Jul 31, 2016 (Jul)",21:00,53.9, ,53.7,
"Jun 30, 2016 (Jun)",21:00,53.7, ,53.1,
"May 31, 2016 (May)",21:00,53.1, ,53.5,
"Apr 30, 2016 (Apr)",21:00,53.5, ,53.8,
"Mar 31, 2016 (Mar)",21:00,53.8, ,52.7,
"Feb 29, 2016 (Feb)",21:00,52.7, ,53.5,
"Jan 31, 2016 (Jan)",21:00,53.5, ,54.4,
"Dec 31, 2015 (Dec)",21:00,54.4, ,53.6,
