"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 19","2,867.84","2,920.85","2,927.02","2,851.70","-","-2.21%"
"Jul 19","2,932.51","3,024.62","3,048.48","2,879.69","371.85B","-1.56%"
"Jun 19","2,978.88","2,901.74","3,012.83","2,822.19","397.47B","2.77%"
"May 19","2,898.70","2,984.73","2,986.54","2,833.04","446.51B","-5.84%"
"Apr 19","3,078.34","3,111.66","3,288.45","3,050.03","748.71B","-0.40%"
"Mar 19","3,090.76","2,954.40","3,129.94","2,930.83","869.19B","5.09%"
"Feb 19","2,940.95","2,597.78","2,997.49","2,590.55","442.18B","13.79%"
"Jan 19","2,584.57","2,497.88","2,630.32","2,440.91","338.56B","3.64%"
"Dec 18","2,493.90","2,647.13","2,666.08","2,462.84","257.51B","-3.64%"
"Nov 18","2,588.19","2,617.03","2,703.51","2,555.32","405.28B","-0.56%"
"Oct 18","2,602.78","2,768.21","2,771.94","2,449.20","274.04B","-7.75%"
"Sep 18","2,821.35","2,716.40","2,827.34","2,644.30","214.84B","3.53%"
"Aug 18","2,725.25","2,882.51","2,897.40","2,653.11","282.14B","-5.25%"
"Jul 18","2,876.40","2,841.58","2,915.30","2,691.02","304.91B","1.02%"
"Jun 18","2,847.42","3,084.75","3,128.72","2,782.38","262.40B","-8.01%"
"May 18","3,095.47","3,087.41","3,219.74","3,041.00","297.93B","0.43%"
"Apr 18","3,082.23","3,169.78","3,220.85","3,041.62","269.90B","-2.74%"
"Mar 18","3,168.90","3,235.09","3,333.88","3,091.46","370.41B","-2.78%"
"Feb 18","3,259.41","3,478.67","3,495.09","3,062.74","288.90B","-6.36%"
"Jan 18","3,480.83","3,314.03","3,587.03","3,314.03","479.78B","5.25%"
"Dec 17","3,307.17","3,315.11","3,324.52","3,254.18","294.12B","-0.30%"
"Nov 17","3,317.19","3,393.97","3,450.49","3,300.78","398.24B","-2.24%"
"Oct 17","3,393.34","3,403.25","3,421.10","3,357.28","270.67B","1.33%"
"Sep 17","3,348.94","3,365.99","3,391.64","3,332.60","423.26B","-0.35%"
"Aug 17","3,360.81","3,274.37","3,376.65","3,200.75","505.99B","2.68%"
"Jul 17","3,273.03","3,192.00","3,276.95","3,139.50","418.76B","2.52%"
"Jun 17","3,192.43","3,108.42","3,193.46","3,078.79","320.47B","2.41%"
"May 17","3,117.18","3,147.23","3,154.78","3,016.53","322.80B","-1.19%"
"Apr 17","3,154.66","3,235.66","3,295.19","3,097.33","378.95B","-2.11%"
"Mar 17","3,222.51","3,240.07","3,283.24","3,193.16","411.76B","-0.59%"
"Feb 17","3,241.73","3,160.08","3,264.08","3,132.03","339.80B","2.61%"
"Jan 17","3,159.17","3,105.31","3,174.58","3,044.29","275.95B","1.79%"
