Release Date,Time,Actual,Forecast,Previous,
"Sep 02, 2019 (Jul)",03:00, , ,51.4,
"Aug 01, 2019 (Jul)",03:00,48.4,54.5,51.4,
"Jul 01, 2019 (Jun)",03:00,51.9,54.5,54.1,
"Jun 03, 2019 (May)",03:00,54.4, ,54.0,
"May 02, 2019 (Apr)",03:00,53.8,57.2,56.3,
"Apr 01, 2019 (Mar)",03:00,56.8,55.3,56.3,
"Mar 01, 2019 (Feb)",04:00,56.3,56.0,58.2,
"Feb 01, 2019 (Jan)",04:00,58.3,55.1,55.9,
"Jan 02, 2019 (Dec)",04:00,55.9, ,56.2,
"Dec 03, 2018 (Nov)",04:00,56.1, ,56.0,
"Nov 01, 2018 (Oct)",04:00,56.0,55.0,55.8,
"Oct 01, 2018 (Sep)",03:00,55.7,56.4,60.5,
"Sep 03, 2018 (Aug)",03:00,60.5, ,48.9,
"Aug 01, 2018 (Jun)",03:00,49.3,56.6,55.8,
"Jun 01, 2018 (May)",03:00,55.8,56.6,56.1,
"May 02, 2018 (Apr)",03:00,56.2,56.0,55.1,
"Apr 03, 2018 (Mar)",03:00,55.0,56.2,57.0,
"Mar 01, 2018 (Feb)",04:00,57.5,57.8,58.4,
"Feb 01, 2018 (Jan)",04:00,59.0,56.5,58.1,
"Jan 02, 2018 (Dec)",04:00,57.8,56.3,57.4,
"Dec 01, 2017 (Nov)",04:00,57.1,55.0,54.8,
"Nov 01, 2017 (Oct)",04:00,54.5,53.1,52.3,
"Oct 03, 2017 (Sep)",03:00,52.5,56.0,54.9,
"Sep 01, 2017 (Aug)",03:00,55.7,56.9,57.5,
"Aug 01, 2017 (Jul)",03:00,57.3, ,55.6,
"Jul 03, 2017 (Jun)",03:00,55.1,54.7,54.2,
"Jun 01, 2017 (May)",03:00,54.3,54.5,54.6,
"May 02, 2017 (Apr)",03:00,54.7,54.3,54.8,
"Apr 03, 2017 (Mar)",03:00,54.7,52.7,53.0,
"Mar 01, 2017 (Feb)",04:00,52.6,51.6,51.7,
"Feb 01, 2017 (Jan)",04:00,51.4,51.0,51.6,
"Jan 02, 2017 (Dec)",04:00,51.4,49.5,47.8,
"Dec 01, 2016 (Nov)",04:00,47.6,52.5,52.0,
"Nov 01, 2016 (Oct)",04:00,52.7,52.5,52.7,
"Oct 03, 2016 (Sep)",03:00,52.6,52.0,50.3,
"Sep 01, 2016 (Aug)",03:00,50.8,54.5,54.2,
"Aug 01, 2016 (Jul)",03:00,54.8,51.5,53.8,
"Jul 01, 2016 (Jun)",03:00,53.5,50.5,51.8,
"Jun 01, 2016 (May)",03:00,51.1,48.5,48.6,
"May 02, 2016 (Apr)",03:00,48.0,48.0,46.7,
"Apr 01, 2016 (Mar)",03:00,46.8,48.5,48.3,
"Mar 01, 2016 (Feb)",04:00,48.4,48.2,49.4,
"Feb 01, 2016 (Jan)",04:00,49.2,47.0,47.1,
"Jan 05, 2016 (Dec)",04:00,46.8,47.0,47.5,
"Dec 01, 2015 (Nov)",04:00,47.6,48.0,48.3,
"Nov 02, 2015 (Oct)",04:00,48.3,46.3,47.5,
"Oct 01, 2015 (Sep)",03:00,47.3,43.6,43.7,
"Sep 01, 2015 (Aug)",03:00,43.3,46.0,45.4,
"Aug 04, 2015 (Jul)",03:00,45.8,44.0,44.2,
"Jul 01, 2015 (Jun)",03:00,44.0,48.0,46.5,
"Jun 01, 2015 (May)",03:00,46.6,50.1,50.2,
"May 04, 2015 (Apr)",03:00,50.5,49.0,48.6,
"Apr 01, 2015 (Mar)",03:00,48.8,51.2,50.9,
"Mar 02, 2015 (Feb)",04:00,51.2,51.3,51.9,
"Feb 02, 2015 (Jan)",04:00,51.9,49.0,49.8,
"Jan 06, 2015 (Dec)",04:00,49.8,50.5,51.4,
"Dec 01, 2014 (Nov)",04:00,51.3,51.2,50.8,
"Nov 03, 2014 (Oct)",07:00,50.7,48.9,49.5,
"Oct 01, 2014 (Sep)",03:00,49.4,51.0,51.8,
"Sep 01, 2014",03:00,51.8,50.5,50.8,
"Aug 01, 2014",03:00,50.6,50.2,49.6,
"Jul 01, 2014",03:00,49.6,50.9,49.6,
"Jun 02, 2014",03:00,49.8,51.5,51.1,
"May 02, 2014",03:00,51.2,52.5,52.4,
"Apr 01, 2014",03:00,51.9,51.7,51.1,
"Mar 03, 2014",04:00,51.0,53.2,52.8,
"Feb 03, 2014",04:00,52.8,52.6,51.4,
"Jan 06, 2014",04:00,51.6,53.4,54.1,
"Dec 02, 2013",04:00,54.5,53.0,53.7,
"Nov 01, 2013",04:00,53.6,52.7,52.4,
"Oct 01, 2013",03:00,52.3,51.2,53.2,
"Sep 02, 2013",03:00,53.0,49.5,48.0,
"Aug 01, 2013",03:00,47.5,49.0,46.9,
"Jul 03, 2013",07:00,46.7,51.0,52.3,
"Jun 03, 2013",03:00,52.0,49.5,49.2,
"May 03, 2013",03:00,48.9,49.9,50.0,
"Apr 03, 2013",03:00,50.1,49.0,48.4,
"Mar 01, 2013",04:00,48.3,51.0,50.1,
"Feb 01, 2013",04:00,50.5,50.3,50.0,
"Jan 03, 2013",04:00,50.0,50.0,50.2,
"Dec 03, 2012",04:00,50.1,49.0,49.0,
"Nov 01, 2012",04:00,48.7,49.5,49.1,
"Oct 01, 2012",03:00,48.9,49.5,48.8,
"Sep 05, 2012",03:00,48.7,50.0,49.1,
"Aug 01, 2012",03:00,48.7,48.1,46.5,
"Jul 02, 2012",03:00,46.3,53.8,54.5,
"Jun 01, 2012",03:00,54.9,54.0,53.6,
"May 02, 2012",03:00,53.7,57.0,59.3,
"Mar 30, 2012",03:00,59.7,55.0,56.7,
"Mar 01, 2012 (Feb)",05:00,55.40, ,53.60,
"Feb 01, 2012 (Jan)",05:00,53.60, ,48.00,
"Jan 01, 2012 (Dec)",05:00,48.00, ,49.50,
"Dec 01, 2011 (Nov)",05:00,49.50, ,51.20,
"Nov 01, 2011 (Oct)",05:00,51.20, ,54.90,
"Oct 01, 2011 (Sep)",05:00,54.90, ,55.20,
"Sep 01, 2011 (Aug)",05:00,55.20, ,56.70,
"Aug 01, 2011 (Jul)",05:00,56.70, ,57.10,
"Jul 01, 2011 (Jun)",05:00,57.10, ,57.00,
"Jun 01, 2011 (May)",05:00,57.00, ,55.50,
"May 01, 2011 (Apr)",05:00,55.50, ,55.70,
"Apr 01, 2011 (Mar)",05:00,55.70, ,56.90,
"Mar 01, 2011 (Feb)",05:00,56.90, ,54.20,
"Feb 01, 2011 (Jan)",05:00,54.20, ,55.20,
"Jan 01, 2011 (Dec)",05:00,55.20, ,56.40,
"Dec 01, 2010 (Nov)",05:00,56.40, ,56.70,
"Nov 01, 2010 (Oct)",05:00,56.70, ,53.50,
"Oct 01, 2010 (Sep)",05:00,53.50, ,49.90,
"Sep 01, 2010 (Aug)",05:00,49.90, ,53.50,
"Aug 01, 2010 (Jul)",05:00,53.50, ,50.90,
"Jul 01, 2010 (Jun)",05:00,50.90, ,50.20,
"Jun 01, 2010 (May)",05:00,50.20, ,51.90,
"May 01, 2010 (Apr)",05:00,51.90, ,48.90,
"Apr 01, 2010 (Mar)",05:00,48.90, ,48.40,
"Mar 01, 2010 (Feb)",05:00,48.40, ,49.50,
"Feb 01, 2010 (Jan)",05:00,49.50, ,48.60,
"Jan 01, 2010 (Dec)",05:00,48.60, ,47.90,
"Dec 01, 2009 (Nov)",05:00,47.90, ,43.80,
"Nov 01, 2009 (Oct)",05:00,43.80, ,44.40,
"Oct 01, 2009 (Sep)",05:00,44.40, ,41.60,
"Sep 01, 2009 (Aug)",05:00,41.60, ,47.60,
"Aug 01, 2009 (Jul)",05:00,47.60, ,44.70,
"Jul 01, 2009 (Jun)",05:00,44.70, ,38.30,
"Jun 01, 2009 (May)",05:00,38.30, ,36.40,
"May 01, 2009 (Apr)",05:00,36.40, ,35.60,
"Apr 01, 2009 (Mar)",05:00,35.60, ,35.10,
"Mar 01, 2009 (Feb)",05:00,35.10, ,39.90,
"Feb 01, 2009 (Jan)",05:00,39.90, ,39.40,
"Jan 01, 2009 (Dec)",05:00,39.40, ,39.30,
"Dec 01, 2008 (Nov)",05:00,39.30, ,43.00,
"Nov 01, 2008 (Oct)",05:00,43.00, ,43.00,
"Oct 01, 2008 (Sep)",05:00,43.00, ,47.90,
"Sep 01, 2008 (Aug)",05:00,47.90, ,47.90,
"Aug 01, 2008 (Jul)",05:00,47.90, ,46.60,
"Jul 01, 2008 (Jun)",05:00,46.60, ,52.10,
"Jun 01, 2008 (May)",05:00,52.10, ,54.20,
"May 01, 2008 (Apr)",05:00,54.20, ,54.00,
"Apr 01, 2008 (Mar)",05:00,54.00, ,55.90,
"Mar 01, 2008 (Feb)",05:00,55.90, ,52.60,
"Feb 01, 2008 (Jan)",05:00,52.60, ,53.10,
"Jan 01, 2008 (Dec)",05:00,53.10, ,54.60,
