Release Date,Time,Actual,Forecast,Previous,
"Aug 01, 2019 (Jul)",04:30,48.0,47.7,48.0,
"Jul 01, 2019 (Jun)",04:30,48.0,49.2,49.4,
"Jun 03, 2019 (May)",04:30,49.4,52.0,53.1,
"May 01, 2019 (Apr)",04:30,53.1,53.2,55.1,
"Apr 01, 2019 (Mar)",04:30,55.1,51.2,52.1,
"Mar 01, 2019 (Feb)",05:30,52.0,52.0,52.6,
"Feb 01, 2019 (Jan)",05:30,52.8,53.5,54.2,
"Jan 02, 2019 (Dec)",05:30,54.2,52.6,53.6,
"Dec 03, 2018 (Nov)",05:30,53.1,51.6,51.1,
"Nov 01, 2018 (Oct)",05:30,51.1,53.0,53.6,
"Oct 01, 2018 (Sep)",04:30,53.8,52.6,53.0,
"Sep 03, 2018 (Aug)",04:30,52.8,53.9,53.8,
"Aug 01, 2018 (Jul)",04:30,54.0,54.2,54.3,
"Jul 02, 2018 (Jun)",04:30,54.4,54.1,54.3,
"Jun 01, 2018 (May)",04:30,54.4,53.5,53.9,
"May 01, 2018 (Apr)",04:30,53.9,54.9,54.9,
"Apr 03, 2018 (Mar)",04:30,55.1,54.8,55.0,
"Mar 01, 2018 (Feb)",05:30,55.2,55.1,55.3,
"Feb 01, 2018 (Jan)",05:30,55.3,56.5,56.2,
"Jan 02, 2018 (Dec)",05:30,56.3,58.0,58.2,
"Dec 01, 2017 (Nov)",05:30,58.2,56.5,56.6,
"Nov 01, 2017 (Oct)",05:30,56.3,55.8,56.0,
"Oct 02, 2017 (Sep)",04:30,55.9,56.4,56.7,
"Sep 01, 2017 (Aug)",04:30,56.9,55.0,55.3,
"Aug 01, 2017 (Jul)",04:30,55.1,54.4,54.2,
"Jul 03, 2017 (Jun)",04:30,54.3,56.5,56.3,
"Jun 01, 2017 (May)",04:30,56.7,56.5,57.3,
"May 02, 2017 (Apr)",04:30,57.3,54.0,54.2,
"Apr 03, 2017 (Mar)",04:30,54.2,55.1,54.5,
"Mar 01, 2017 (Feb)",05:30,54.6,55.6,55.9,
"Feb 01, 2017 (Jan)",05:30,55.9,55.9,56.1,
"Jan 03, 2017 (Dec)",05:30,56.1,53.3,53.6,
"Dec 01, 2016 (Nov)",05:30,53.4,54.5,54.2,
"Nov 01, 2016 (Oct)",05:30,54.3,54.5,55.5,
"Oct 03, 2016 (Sep)",04:30,55.4,52.1,53.3,
"Sep 01, 2016 (Aug)",04:30,53.3,49.0,48.3,
"Aug 01, 2016 (Jul)",04:30,48.2,49.1,49.1,
"Jul 22, 2016 (Jul)",04:30  ,49.1,47.8,52.1,
"Jul 01, 2016 (Jun)",04:30,52.1,49.9,50.1,
"Jun 01, 2016 (May)",04:30,50.1,49.6,49.4,
"May 03, 2016 (Apr)",04:30,49.2,51.2,50.7,
"Apr 01, 2016 (Mar)",04:30,51.0,51.2,50.8,
"Mar 01, 2016 (Feb)",05:30,50.8,52.2,52.9,
"Feb 01, 2016 (Jan)",05:30,52.9,51.8,52.1,
"Jan 04, 2016 (Dec)",05:30,51.9,52.7,52.5,
"Dec 01, 2015 (Nov)",05:30,52.7,53.6,55.2,
"Nov 02, 2015 (Oct)",05:30,55.5,51.3,51.8,
"Oct 01, 2015 (Sep)",04:30,51.5,51.3,51.6,
"Sep 01, 2015 (Aug)",04:30,51.5,52.0,51.9,
"Aug 03, 2015 (Jul)",04:30,51.9,51.6,51.4,
"Jul 01, 2015 (Jun)",04:30,51.4,52.5,51.9,
"Jun 01, 2015 (May)",04:30,52.0,52.5,51.8,
"May 01, 2015 (Apr)",04:30,51.9,54.6,54.0,
"Apr 01, 2015 (Mar)",04:30,54.4,54.3,54.1,
"Mar 02, 2015 (Feb)",05:30,54.1,53.4,53.1,
"Feb 02, 2015 (Jan)",05:30,53.0,52.6,52.7,
"Jan 02, 2015 (Dec)",05:30,52.5,53.6,53.5,
"Dec 01, 2014 (Nov)",05:30,53.5,53.1,53.2,
"Nov 03, 2014 (Oct)",05:30,53.2,51.2,51.6,
"Oct 01, 2014 (Sep)",04:30,51.6,52.5,52.2,
"Sep 01, 2014",04:30,52.5,55.0,54.8,
"Aug 01, 2014",04:30,55.4,57.2,57.2,
"Jul 01, 2014",04:30,57.5,56.8,57.0,
"Jun 02, 2014",04:30,57.0,57.0,57.3,
"May 01, 2014",04:30,57.3,55.4,55.8,
"Apr 01, 2014",04:30,55.3,56.7,56.2,
"Mar 03, 2014",05:28,56.9,56.5,56.7,
"Feb 03, 2014",05:28,56.7,57.0,57.2,
"Jan 02, 2014",05:28,57.3,58.0,58.1,
"Dec 02, 2013",05:28,58.4,56.0,56.5,
"Nov 01, 2013",05:28,56.0,56.1,56.3,
"Oct 01, 2013",04:28,56.7,57.3,57.1,
"Sep 02, 2013",04:28,57.2,55.0,54.8,
"Aug 01, 2013",04:28,54.6,52.8,52.9,
"Jul 01, 2013",04:28,52.5,51.5,51.5,
"Jun 03, 2013",04:28,51.3,50.2,50.2,
"May 01, 2013",04:28,49.8,48.5,48.6,
"Apr 02, 2013",04:28,48.3,48.5,47.9,
"Mar 01, 2013",05:30,47.9,51.0,50.8,
"Feb 01, 2013",05:30,50.8,51.0,51.2,
"Jan 02, 2013",05:30,51.4,49.2,49.2,
"Dec 03, 2012",05:30,49.1,48.1,47.3,
"Nov 01, 2012",05:30,47.5,48.1,48.1,
"Oct 01, 2012",04:30,48.4,49.3,49.5,
"Sep 03, 2012",04:30,49.5,46.2,45.2,
"Aug 01, 2012",04:30,45.4,48.7,48.4,
"Jul 02, 2012",04:30,48.6,46.7,45.9,
"Jun 01, 2012",04:30,45.9,49.7,50.2,
"May 01, 2012",04:30,50.5,51.4,51.9,
"Apr 02, 2012",04:30,52.1,50.5,51.5,
"Mar 01, 2012",05:30,51.2,52.0,52.0,
"Feb 01, 2012",05:30,52.1,50.1,49.7,
"Jan 03, 2012",05:30,49.6,47.3,47.7,
"Dec 01, 2011",05:30,47.6,47.0,47.8,
"Nov 01, 2011",05:30,47.4,50.0,50.8,
"Oct 03, 2011",04:30,51.1,48.5,49.4,
"Sep 01, 2011",04:30,49.0,49.5,49.4,
"Aug 01, 2011",04:30,49.1,51.0,51.4,
"Jul 01, 2011",04:30,51.3,52.3,52.0,
"Jun 01, 2011",04:30,52.1,54.2,54.4,
"May 03, 2011",04:30,54.6,57.0,56.7,
