Release Date,Time,Actual,Forecast,Previous,
"Jan 28, 2010",20:01,-17,-18,-19,
"Dec 17, 2009",20:01,-19, ,-17,
"Nov 29, 2009",20:01,-17,-11,-13,
"Oct 29, 2009",20:01,-13,-14,-16,
"Sep 29, 2009",19:01,-16,-24,-25,
"Aug 27, 2009",19:01,-25,-24,-25,
"Jul 30, 2009",19:01,-25,-23,-25,
"Jun 29, 2009",19:01,-25,-25,-27,
"May 28, 2009",19:01,-27,-25,-27,
"Apr 29, 2009",19:00,-27,-29,-30,
"Mar 30, 2009",19:01,-30,-35,-35,
"Feb 26, 2009",20:01,-35,-39,-37,
"Jan 29, 2009",20:01,-37,-34,-33,
"Dec 18, 2008",20:01,-33,-39,-35,
"Nov 27, 2008",20:01,-35,-38,-36,
"Oct 31, 2008",07:00,-36,-35,-32,
"Sep 29, 2008",19:01,-32,-39,-36,
"Aug 28, 2008",19:01,-36,-41,-39,
"Jul 30, 2008",19:01,-39,-37,-34,
"Jun 29, 2008",19:00,-34,-31,-29,
"Apr 29, 2008",19:00,-24,-20,-19,
"Feb 29, 2008",06:30,-12,-15,-13,
"Jan 01, 2008 (Dec)",05:00,-14.00, ,-10.00,
"Dec 01, 2007 (Nov)",05:00,-10.00, ,-8.00,
"Nov 01, 2007 (Oct)",05:00,-8.00, ,-7.00,
"Oct 01, 2007 (Sep)",05:00,-7.00, ,-4.00,
"Sep 01, 2007 (Aug)",05:00,-4.00, ,-6.00,
"Aug 01, 2007 (Jul)",05:00,-6.00, ,-3.00,
"Jul 01, 2007 (Jun)",05:00,-3.00, ,-2.00,
"Jun 01, 2007 (May)",05:00,-2.00, ,-6.00,
"May 01, 2007 (Apr)",05:00,-6.00, ,-8.00,
"Apr 01, 2007 (Mar)",05:00,-8.00, ,-8.00,
"Mar 01, 2007 (Feb)",05:00,-8.00, ,-7.00,
"Feb 01, 2007 (Jan)",05:00,-7.00, ,-8.00,
"Jan 01, 2007 (Dec)",05:00,-8.00, ,-7.00,
"Dec 01, 2006 (Nov)",05:00,-7.00, ,-5.00,
"Nov 01, 2006 (Oct)",05:00,-5.00, ,-7.00,
"Oct 01, 2006 (Sep)",05:00,-7.00, ,-8.00,
"Sep 01, 2006 (Aug)",05:00,-8.00, ,-4.00,
"Aug 01, 2006 (Jul)",05:00,-4.00, ,-4.00,
"Jul 01, 2006 (Jun)",05:00,-4.00, ,-5.00,
"Jun 01, 2006 (May)",05:00,-5.00, ,-4.00,
"May 01, 2006 (Apr)",05:00,-4.00, ,-7.00,
"Apr 01, 2006 (Mar)",05:00,-7.00, ,-4.00,
"Mar 01, 2006 (Feb)",05:00,-4.00, ,-3.00,
"Feb 01, 2006 (Jan)",05:00,-3.00, ,-9.00,
"Jan 01, 2006 (Dec)",05:00,-9.00, ,-8.00,
"Dec 01, 2005 (Nov)",05:00,-8.00, ,-8.00,
"Nov 01, 2005 (Oct)",05:00,-8.00, ,-5.00,
"Oct 01, 2005 (Sep)",05:00,-5.00, ,-4.00,
"Sep 01, 2005 (Aug)",05:00,-4.00, ,-1.00,
"Aug 01, 2005 (Jul)",05:00,-1.00, ,-3.00,
"Jul 01, 2005 (Jun)",05:00,-3.00, ,-1.00,
"Jun 01, 2005 (May)",05:00,-1.00, ,0.00,
"May 01, 2005 (Apr)",05:00,0.00, ,1.00,
"Apr 01, 2005 (Mar)",05:00,1.00, ,0.00,
"Mar 01, 2005 (Feb)",05:00,0.00, ,1.00,
"Feb 01, 2005 (Jan)",05:00,1.00, ,-3.00,
"Jan 01, 2005 (Dec)",05:00,-3.00, ,-4.00,
"Dec 01, 2004 (Nov)",05:00,-4.00, ,-6.00,
"Nov 01, 2004 (Oct)",05:00,-6.00, ,-7.00,
"Oct 01, 2004 (Sep)",05:00,-7.00, ,-5.00,
