Release Date,Time,Actual,Forecast,Previous,
"Aug 21, 2019 (Aug)",20:30, , ,49.4,
"Jul 31, 2019 (Jul)",20:30,49.4,49.6,49.6,
"Jul 23, 2019 (Jul)",20:30  ,49.6,49.7,49.3,
"Jun 30, 2019 (Jun)",20:30,49.3,49.5,49.5,
"Jun 20, 2019 (Jun)",20:30  ,49.5,50.0,49.8,
"Jun 02, 2019 (May)",20:30,49.8,49.6,49.6,
"May 22, 2019 (May)",20:30  ,49.6,50.5,50.2,
"May 06, 2019 (Apr)",20:30,50.2,49.5,49.5,
"Apr 17, 2019 (Apr)",20:30  ,49.5, ,49.2,
"Mar 31, 2019 (Mar)",20:30,49.2,48.9,48.9,
"Mar 21, 2019 (Mar)",20:30  ,48.9,49.2,48.9,
"Feb 28, 2019 (Feb)",20:30,48.9,48.5,48.5,
"Feb 20, 2019 (Feb)",20:30  ,48.5,50.4,50.3,
"Jan 31, 2019 (Jan)",20:30,50.3,50.0,50.0,
"Jan 23, 2019 (Jan)",20:30  ,50.0, ,52.6,
"Jan 03, 2019 (Jan)",20:30,52.6,52.4,52.6,
"Dec 13, 2018 (Dec)",20:30  ,52.4,52.3,52.2,
"Dec 02, 2018 (Nov)",20:30,52.2,51.8,51.8,
"Nov 25, 2018 (Nov)",20:30  ,51.8,53.0,52.9,
"Oct 31, 2018 (Oct)",20:30,52.9,53.1,53.1,
"Oct 23, 2018 (Oct)",20:30  ,53.1,52.6,52.5,
"Sep 30, 2018 (Sep)",20:30,52.5,52.9,52.9,
"Sep 20, 2018 (Sep)",20:30  ,52.9,53.1,52.5,
"Sep 02, 2018 (Aug)",20:30,52.5,52.5,52.5,
"Aug 22, 2018 (Aug)",20:30  ,52.5,52.4,52.3,
"Jul 31, 2018 (Jul)",20:30,52.3,51.6,51.6,
"Jul 23, 2018 (Jul)",20:30  ,51.6,53.2,53.0,
"Jul 01, 2018 (Jun)",20:30,53.0,53.1,53.1,
"Jun 21, 2018 (Jun)",20:30  ,53.1,52.6,52.8,
"May 31, 2018 (May)",20:30,52.8,52.5,52.5,
"May 22, 2018 (May)",20:30  ,52.5,53.6,53.8,
"Apr 30, 2018 (Apr)",20:30,53.8,53.3,53.3,
"Apr 22, 2018 (Apr)",20:30  ,53.3,53.4,53.1,
"Apr 01, 2018 (Mar)",20:30,53.1,53.2,53.2,
"Mar 21, 2018 (Mar)",20:30  ,53.2,54.3,54.1,
"Feb 28, 2018 (Feb)",20:30,54.1,54.0,54.0,
"Feb 20, 2018 (Feb)",20:30  ,54.0,55.2,54.8,
"Jan 31, 2018 (Jan)",20:30,54.8,54.4,54.4,
"Jan 23, 2018 (Jan)",20:30  ,54.4,54.3,54.0,
"Jan 03, 2018 (Dec)",20:30,54.0,54.2,54.2,
"Dec 13, 2017 (Dec)",20:30  ,54.2, ,53.6,
"Nov 30, 2017 (Nov)",20:30,53.6,53.8,53.8,
"Nov 23, 2017 (Nov)",20:30  ,53.8,52.6,52.8,
"Oct 31, 2017 (Oct)",20:30,52.8,52.5,52.5,
"Oct 23, 2017 (Oct)",20:30  ,52.5,53.1,52.9,
"Oct 01, 2017 (Sep)",20:30,52.9,52.6,52.6,
"Sep 24, 2017 (Sep)",20:30  ,52.6,53.4,52.2,
"Aug 31, 2017 (Aug)",20:30,52.2,52.8,52.8,
"Aug 22, 2017 (Aug)",20:30  ,52.8,52.3,52.1,
"Jul 31, 2017 (Jul)",20:30,52.1,52.2,52.2,
"Jul 23, 2017 (Jul)",20:30  ,52.2,52.3,52.4,
"Jul 02, 2017 (Jun)",20:30,52.4,52.0,52.0,
"Jun 22, 2017 (Jun)",20:30  ,52.0,53.4,53.1,
"May 31, 2017 (May)",20:30,53.1,52.0,52.0,
"May 22, 2017 (May)",20:30  ,52.0,52.9,52.7,
"Apr 30, 2017 (Apr)",20:30,52.7,52.8,52.8,
"Apr 20, 2017 (Apr)",20:30  ,52.8, ,52.4,
"Apr 02, 2017 (Mar)",20:30,52.4,52.6,52.6,
"Mar 23, 2017 (Mar)",20:30  ,52.6,53.5,53.3,
"Feb 28, 2017 (Feb)",20:30,53.3,53.6,53.5,
"Feb 20, 2017 (Feb)",20:30  ,53.5,52.1,52.7,
"Jan 31, 2017 (Jan)",20:30,52.7,52.8,52.8,
"Jan 23, 2017 (Jan)",20:30  ,52.8,52.3,52.4,
"Jan 03, 2017 (Dec)",20:30,52.4,51.9,51.9,
"Dec 14, 2016 (Dec)",20:30  ,51.9,51.5,51.3,
"Nov 30, 2016 (Nov)",20:30,51.3,51.1,51.1,
"Nov 29, 2016",20:00, , , ,
"Nov 23, 2016 (Nov)",20:30  ,51.1,51.7,51.4,
"Oct 31, 2016 (Oct)",20:30,51.4,51.7,51.7,
"Oct 23, 2016 (Oct)",20:30  ,51.7,50.6,50.4,
"Oct 02, 2016 (Sep)",20:30,50.4,50.3,50.3,
"Sep 22, 2016 (Sep)",20:30  ,50.3,49.3,49.5,
"Aug 31, 2016 (Aug)",20:30,49.5,49.6,49.6,
"Aug 22, 2016 (Aug)",22:00  ,49.6,49.5,49.3,
"Jul 31, 2016 (Jul)",22:00,49.3,49.0,49.0,
"Jul 21, 2016 (Jul)",22:00  ,49.0,48.3,48.1,
"Jun 30, 2016 (Jun)",22:00,48.1,47.9,47.8,
"Jun 22, 2016 (Jun)",22:00  ,47.8,48.2,47.7,
"May 31, 2016 (May)",22:00,47.7,47.6,47.6,
"May 22, 2016 (May)",22:00  ,47.6,48.3,48.2,
"May 01, 2016 (Apr)",22:00,48.2,48.0,48.0,
"Apr 21, 2016 (Apr)",22:00  ,48.0,49.6,49.1,
"Mar 31, 2016 (Mar)",22:00,49.1,49.1,49.1,
"Mar 21, 2016 (Mar)",22:00  ,49.1,50.6,50.1,
"Feb 29, 2016 (Feb)",22:00,50.1,50.2,50.2,
"Feb 21, 2016 (Feb)",22:00  ,50.2,52.0,52.3,
