Release Date,Time,Actual,Forecast,Previous,
"Aug 22, 2019 (Aug)",04:00, ,52.1,52.2,
"Aug 05, 2019 (Jul)",04:00, ,51.5,51.5,
"Jul 24, 2019 (Jul)",04:00,51.5,52.1,52.2,
"Jul 03, 2019 (Jun)",04:00,52.2,52.1,52.1,
"Jun 21, 2019 (Jun)",04:00  ,52.1,51.8,51.8,
"Jun 05, 2019 (May)",04:00,51.8,51.6,51.6,
"May 23, 2019 (May)",04:00  ,51.6,51.7,51.5,
"May 06, 2019 (Apr)",04:00,51.5,51.3,51.3,
"Apr 18, 2019 (Apr)",04:00  ,51.3,51.8,51.6,
"Apr 03, 2019 (Mar)",04:00,51.6,51.3,51.3,
"Mar 22, 2019 (Mar)",05:00  ,51.3,52.0,51.9,
"Mar 05, 2019 (Feb)",05:00,51.9,51.4,51.4,
"Feb 21, 2019 (Feb)",05:00  ,51.4,51.1,51.0,
"Feb 05, 2019 (Jan)",05:00,51.0,50.7,50.7,
"Jan 24, 2019 (Jan)",05:00  ,50.7,51.4,51.1,
"Jan 04, 2019 (Dec)",05:00,51.1,51.3,51.3,
"Dec 14, 2018 (Dec)",05:00  ,51.3,52.8,52.7,
"Dec 05, 2018 (Nov)",05:00,52.7,52.4,52.4,
"Nov 23, 2018 (Nov)",05:00  ,52.4,53.0,53.1,
"Nov 06, 2018 (Oct)",05:00,53.1,52.7,52.7,
"Oct 24, 2018 (Oct)",04:00  ,52.7,53.9,54.1,
"Oct 03, 2018 (Sep)",04:00,54.1,54.2,54.2,
"Sep 21, 2018 (Sep)",04:00,54.2,54.4,54.5,
"Sep 05, 2018 (Aug)",04:00,54.5,54.4,54.4,
"Aug 23, 2018 (Aug)",04:00  ,54.4,54.5,54.3,
"Aug 03, 2018 (Jul)",04:00,54.3,54.3,54.3,
"Jul 24, 2018 (Jul)",04:00  ,54.3,54.8,54.9,
"Jul 04, 2018 (Jun)",04:00,54.9,54.8,54.8,
"Jun 22, 2018 (Jun)",04:00  ,54.8,53.9,54.1,
"Jun 05, 2018 (May)",04:00,54.1,54.1,54.1,
"May 23, 2018 (May)",04:00  ,54.1,55.0,55.1,
"May 04, 2018 (Apr)",04:00,55.1,55.2,55.2,
"Apr 23, 2018 (Apr)",04:00  ,55.2,54.9,55.2,
"Apr 05, 2018 (Mar)",04:00,55.2,55.3,55.3,
"Mar 22, 2018 (Mar)",05:00  ,55.3,56.7,57.1,
"Mar 05, 2018 (Feb)",05:00,57.1,57.5,57.5,
"Feb 21, 2018 (Feb)",05:00  ,57.5,58.5,58.8,
"Feb 05, 2018 (Jan)",05:00,58.8,58.6,58.6,
"Jan 24, 2018 (Jan)",05:00  ,58.6,57.9,58.1,
"Jan 04, 2018 (Dec)",05:00,58.1,58.0,58.0,
"Dec 14, 2017 (Dec)",05:00  ,58.0,57.2,57.5,
"Dec 05, 2017 (Nov)",05:00,57.5,57.5,57.5,
"Nov 23, 2017 (Nov)",05:00  ,57.5,56.0,56.0,
"Nov 06, 2017 (Oct)",05:00,56.0,55.9,55.9,
"Oct 24, 2017 (Oct)",04:00  ,55.9,56.5,56.7,
"Oct 04, 2017 (Sep)",04:00,56.7,56.7,56.7,
