Release Date,Time,Actual,Forecast,Previous,
"Aug 01, 2019",05:00,52.1, ,46.2,
"Jul 02, 2019",05:00,46.2, ,45.4,
"Jun 03, 2019",05:00,45.4, ,47.2,
"May 02, 2019",05:00,47.2, ,45.0,
"Apr 03, 2019",05:00,45.0, ,46.2,
"Mar 01, 2019",05:00,46.2, ,49.9,
"Feb 01, 2019",05:00,50.5, ,50.7,
"Jan 09, 2019",05:00,50.7, ,49.5,
"Dec 03, 2018",05:00,49.5, ,42.4,
"Nov 01, 2018",05:00,42.4, ,44.5,
"Oct 01, 2018",05:30,43.2, ,43.4,
"Sep 03, 2018",05:00,43.4, ,51.5,
"Aug 01, 2018",05:00,51.5, ,47.9,
"Jul 02, 2018",05:00,47.9, ,49.8,
"Jun 01, 2018",05:00,49.8, ,50.9,
"May 02, 2018",05:00,50.9, ,46.9,
"Apr 03, 2018",05:00,46.9, ,50.8,
"Mar 01, 2018",05:00,50.8, ,49.9,
"Feb 01, 2018",05:00,49.9, ,44.9,
"Jan 12, 2018",05:00,44.9, ,48.6,
"Dec 01, 2017",05:00,48.6, ,47.8,
"Nov 01, 2017",05:00,47.8, ,44.9,
"Oct 03, 2017",05:00,44.9, ,44.0,
"Sep 01, 2017",05:00,44.0, ,42.9,
"Aug 01, 2017",05:00,42.9, ,46.7,
"Jul 03, 2017",05:00,46.7, ,51.5,
"Jun 01, 2017",05:00,51.5, ,44.7,
"May 02, 2017",05:00,44.7, ,52.2,
"Apr 03, 2017",05:00,52.2, ,52.5,
"Mar 01, 2017",05:00,52.5, ,50.9,
"Feb 01, 2017",05:00,50.9, ,46.7,
"Jan 12, 2017",05:00,46.7, ,48.3,
"Dec 01, 2016",05:00,48.3, ,45.9,
"Nov 01, 2016",05:00,45.9, ,48.5,
"Oct 03, 2016",05:00,49.5, ,46.3,
"Sep 01, 2016",05:00,46.3, ,52.5,
"Aug 01, 2016",05:00,52.5, ,53.7,
"Jul 01, 2016",05:00,53.7,51.3,51.9,
"Jun 01, 2016",05:00,51.9, ,54.9,
"May 03, 2016",05:00,54.9, ,50.5,
"Apr 01, 2016",05:00,50.5, ,47.1,
"Mar 01, 2016",05:00,47.1,44.3,43.5,
"Feb 01, 2016",05:00,43.5,45.1,45.5,
"Jan 14, 2016",05:00,45.5,45.5,43.3,
"Dec 01, 2015",05:00,43.3, ,48.1,
"Nov 02, 2015",05:00,48.1, ,49.0,
"Oct 01, 2015",05:00,49.0,49.0,48.9,
"Sep 01, 2015",05:00,48.9,51.1,51.4,
"Aug 03, 2015",05:00,51.4,51.0,51.4,
"Jul 01, 2015",05:00,51.4, ,50.8,
"Jun 01, 2015",05:00,50.8,46.0,45.4,
"May 04, 2015",05:00,45.4,47.6,47.9,
"Apr 01, 2015",05:00,47.9,48.0,47.6,
"Mar 02, 2015",05:00,47.6,54.5,54.2,
"Feb 02, 2015",05:00,54.2,50.4,50.2,
"Jan 02, 2015",05:00,50.2, ,53.3,
"Dec 01, 2014",05:00,53.3,51.8,50.1,
"Nov 03, 2014",05:00,50.1,51.1,50.7,
"May 05, 2014",05:00,47.4,50.2,50.3,
"Apr 01, 2014",05:00,50.3,51.2,51.7,
"Jan 15, 2014",05:00,49.9,52.5,52.4,
"Dec 02, 2013",05:00,52.4, ,50.7,
"Nov 01, 2013",05:00,50.7, ,50.0,
"Oct 01, 2013",05:00,49.1, ,56.5,
"Sep 02, 2013",05:00,56.5, ,52.2,
"Aug 01, 2013",05:00,52.2, ,51.6,
"Jul 01, 2013",05:00,51.6,50.2,50.4,
"Jun 03, 2013",05:00,50.4, ,50.5,
"May 02, 2013",05:00,50.5,48.8,49.3,
"Apr 02, 2013",05:00,49.3, ,53.6,
"Mar 01, 2013",05:00,53.6, ,49.1,
"Feb 01, 2013",05:00,49.1, ,47.4,
"Jan 16, 2013",05:00,47.4,50.2,49.5,
"Dec 03, 2012",05:00,49.5, ,47.1,
"Nov 01, 2012",05:00,47.1, ,48.3,
"Oct 01, 2012",05:00,46.2,49.6,50.2,
"Sep 03, 2012",05:00,50.2, ,51.0,
"Aug 01, 2012",05:00,51.0, ,48.2,
"Jul 02, 2012",05:00,48.2, ,53.6,
"Jun 01, 2012",05:00,53.6,52.1,53.7,
"May 02, 2012",05:00,53.7,53.6,55.1,
"Apr 02, 2012",05:00,55.1, ,57.9,
"Mar 01, 2012",05:00,57.9,52.3,53.2,
