Release Date,Time,Actual,Forecast,Previous,
"Aug 04, 2019 (Jul)",18:30, , ,52.2,
"Jul 02, 2019 (Jun)",18:30,52.2, ,52.5,
"Jun 04, 2019 (May)",18:30,52.5, ,46.5,
"May 02, 2019 (Apr)",18:30,46.5, ,44.8,
"Apr 02, 2019 (Mar)",17:30,44.8, ,44.5,
"Mar 04, 2019 (Feb)",17:30,44.5, ,44.3,
"Feb 04, 2019 (Jan)",17:30,44.3, ,52.1,
"Jan 08, 2019 (Dec)",17:30,52.1, ,55.1,
"Dec 04, 2018 (Nov)",17:30,55.1, ,51.1,
"Nov 04, 2018 (Oct)",17:30,51.1, ,52.5,
"Oct 02, 2018 (Sep)",18:30,52.5, ,52.2,
"Sep 04, 2018 (Aug)",18:30,52.2, ,53.6,
"Aug 02, 2018 (Jul)",18:30,53.6, ,63.0,
"Jul 03, 2018 (Jun)",18:30,63.0, ,59.0,
"Jun 04, 2018 (May)",18:30,59.0, ,55.2,
"May 02, 2018 (Apr)",18:30,55.2, ,56.9,
"Apr 04, 2018 (Mar)",19:30,56.9, ,54.0,
"Mar 04, 2018 (Feb)",18:30,54.0, ,54.9,
"Feb 04, 2018 (Jan)",18:30,54.9, ,52.0,
"Jan 03, 2018 (Dec)",18:30,52.0, ,51.7,
"Dec 04, 2017 (Nov)",18:30,51.7, ,51.4,
"Nov 02, 2017 (Oct)",18:30,51.4, ,52.1,
"Oct 03, 2017 (Sep)",18:30,52.1, ,53.0,
"Sep 04, 2017 (Aug)",19:30,53.0, ,56.4,
"Aug 02, 2017 (Jul)",19:30,56.4, ,54.8,
"Jul 04, 2017 (Jun)",19:30,54.8, ,51.5,
"Jun 04, 2017 (May)",19:30,51.5, ,53.0,
"May 02, 2017 (Apr)",19:30,53.0, ,51.7,
"Apr 04, 2017 (Mar)",19:30,51.7, ,49.0,
"Mar 02, 2017 (Feb)",18:30,49.0, ,54.5,
"Feb 02, 2017 (Jan)",18:30,54.5, ,57.7,
"Jan 04, 2017 (Dec)",18:30,57.7, ,51.1,
"Dec 04, 2016 (Nov)",18:30,51.1, ,50.5,
"Nov 02, 2016 (Oct)",18:30,50.5, ,48.9,
"Oct 04, 2016 (Sep)",18:30,48.9, ,45.0,
"Sep 04, 2016 (Aug)",19:30,45.0, ,53.9,
"Aug 02, 2016 (Jul)",19:30,53.9, ,51.3,
"Jul 04, 2016 (Jun)",19:30,51.3, ,51.5,
"Jun 02, 2016 (May)",19:30,51.5, ,49.7,
"May 03, 2016 (Apr)",19:30,49.7, ,49.5,
"Apr 04, 2016 (Mar)",19:30,49.5, ,51.8,
