Release Date,Time,Actual,Forecast,Previous,
"Aug 05, 2019 (Jul)",02:00, , ,49.7,
"Jul 03, 2019 (Jun)",02:00,49.7, ,52.0,
"Jun 05, 2019 (May)",02:00,52.0, ,52.6,
"May 06, 2019 (Apr)",02:00,52.6, ,54.4,
"Apr 03, 2019 (Mar)",02:00,54.4, ,55.3,
"Mar 05, 2019 (Feb)",02:00,55.3, ,54.9,
"Feb 05, 2019 (Jan)",02:00,54.9, ,54.4,
"Dec 29, 2018 (Dec)",02:00,54.4, ,55.6,
"Dec 05, 2018 (Nov)",02:00,55.6, ,56.9,
"Nov 06, 2018 (Oct)",02:00,56.9, ,54.7,
"Oct 03, 2018 (Sep)",02:00,54.7, ,53.3,
"Sep 05, 2018 (Aug)",02:00,53.3, ,52.8,
"Aug 03, 2018 (Jul)",02:00,52.8, ,52.3,
"Jul 04, 2018 (Jun)",02:00,52.3, ,54.1,
"Jun 05, 2018 (May)",02:00,54.1, ,55.5,
"May 07, 2018 (Apr)",02:00,55.5, ,53.7,
"Apr 04, 2018 (Mar)",02:00,53.7, ,56.5,
"Mar 05, 2018 (Feb)",02:00,56.5, ,55.1,
"Feb 05, 2018 (Jan)",02:00,55.1, ,56.8,
"Dec 29, 2017 (Dec)",02:00,56.8, ,57.4,
"Dec 05, 2017 (Nov)",02:00,57.4, ,53.9,
"Nov 03, 2017 (Oct)",02:00,53.9, ,55.2,
"Oct 04, 2017 (Sep)",02:00,55.2, ,54.2,
"Sep 05, 2017 (Aug)",02:00,54.2, ,52.6,
"Aug 03, 2017 (Jul)",02:00,52.6, ,55.5,
"Jul 05, 2017 (Jun)",02:00,55.5, ,56.3,
"Jun 05, 2017 (May)",02:00,56.3, ,56.1,
"May 04, 2017 (Apr)",02:00,56.1, ,56.6,
"Apr 05, 2017 (Mar)",02:00,56.6, ,55.5,
"Mar 03, 2017 (Feb)",02:00,55.5, ,58.4,
"Feb 03, 2017 (Jan)",02:00,58.4, ,56.5,
"Dec 05, 2016 (Nov)",02:00,54.7, ,52.7,
"Nov 03, 2016 (Oct)",02:00,52.7, ,53.0,
"Oct 05, 2016 (Sep)",02:00,53.0, ,53.5,
"Sep 05, 2016 (Aug)",01:00,53.5, ,55.0,
"Aug 03, 2016 (Jul)",02:00,55.0, ,53.8,
"Jul 05, 2016 (Jun)",02:00,53.8,52.2,51.8,
"Jun 03, 2016 (May)",02:00,51.8, ,54.2,
"May 06, 2016 (Apr)",02:00,54.2,50.0,52.0,
"Apr 05, 2016 (Mar)",02:00,52.0,51.5,50.9,
"Mar 03, 2016 (Feb)",02:00,50.9, ,47.1,
"Feb 03, 2016 (Jan)",02:00,47.1,47.0,47.8,
"Dec 31, 2015 (Dec)",02:00,47.8,48.2,49.8,
"Dec 03, 2015 (Nov)",02:00,49.8,47.9,47.8,
"Nov 05, 2015 (Oct)",02:00,47.8,50.0,51.3,
"Oct 05, 2015 (Sep)",02:00,51.3, ,49.1,
"Sep 03, 2015 (Aug)",02:00,49.1,50.3,51.6,
"Aug 05, 2015 (Jul)",02:00,51.6,49.2,49.5,
"Jul 03, 2015 (Jun)",02:00,49.5,50.0,52.8,
"Jun 03, 2015 (May)",02:00,52.8,48.0,50.7,
"May 07, 2015",02:00,50.7, ,46.1,
"Apr 03, 2015",03:00,46.1, ,41.3,
"Mar 04, 2015",02:00,41.3, ,43.9,
"Feb 01, 2015 (Jan)",05:00,43.90, ,45.80,
"Jan 01, 2015 (Dec)",05:00,45.80, ,44.50,
"Dec 01, 2014 (Nov)",05:00,44.50, ,47.40,
"Nov 01, 2014 (Oct)",05:00,47.40, ,50.50,
"Oct 01, 2014 (Sep)",05:00,50.50, ,50.30,
"Sep 01, 2014 (Aug)",05:00,50.30, ,49.70,
"Aug 01, 2014 (Jul)",05:00,49.70, ,49.80,
"Jul 01, 2014 (Jun)",05:00,49.80, ,46.10,
"Jun 01, 2014 (May)",05:00,46.10, ,46.80,
"May 01, 2014 (Apr)",05:00,46.80, ,47.70,
"Apr 01, 2014 (Mar)",05:00,47.70, ,50.80,
"Mar 01, 2014 (Feb)",05:00,50.80, ,50.20,
"Feb 01, 2014 (Jan)",05:00,50.20, ,53.60,
"Jan 01, 2014 (Dec)",05:00,53.60, ,52.90,
"Dec 01, 2013 (Nov)",05:00,52.90, ,52.50,
"Nov 01, 2013 (Oct)",05:00,52.50, ,51.50,
"Oct 01, 2013 (Sep)",05:00,51.50, ,51.80,
"Sep 01, 2013 (Aug)",05:00,51.80, ,48.70,
"Aug 01, 2013 (Jul)",05:00,48.70, ,48.80,
"Jul 01, 2013 (Jun)",05:00,48.80, ,51.40,
"Jun 01, 2013 (May)",05:00,51.40, ,53.00,
"May 01, 2013 (Apr)",05:00,53.00, ,54.60,
"Apr 01, 2013 (Mar)",05:00,54.60, ,56.10,
"Mar 01, 2013 (Feb)",05:00,56.10, ,55.70,
"Feb 01, 2013 (Jan)",05:00,55.70, ,56.10,
"Jan 01, 2013 (Dec)",05:00,56.10, ,57.10,
"Dec 01, 2012 (Nov)",05:00,57.10, ,57.30,
"Nov 01, 2012 (Oct)",05:00,57.30, ,54.50,
"Oct 01, 2012 (Sep)",05:00,54.50, ,52.60,
"Sep 01, 2012 (Aug)",05:00,52.60, ,52.00,
"Aug 01, 2012 (Jul)",05:00,52.00, ,53.20,
"Jul 01, 2012 (Jun)",05:00,53.20, , ,
