"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 19","853.58","858.94","864.95","848.56","-","-0.65%"
"Jul 19","859.14","864.67","892.97","851.98","-","-0.63%"
"Jun 19","864.63","852.01","879.21","842.59","-","1.47%"
"May 19","852.09","880.83","891.52","838.44","-","-3.27%"
"Apr 19","880.91","863.12","897.00","863.12","-","2.06%"
"Mar 19","863.11","865.36","893.65","859.23","-","-0.25%"
"Feb 19","865.28","835.29","881.29","831.17","-","3.59%"
"Jan 19","835.31","799.48","855.79","786.54","-","4.48%"
"Dec 18","799.46","861.54","881.32","783.58","-","-7.15%"
"Nov 18","860.98","889.62","901.70","832.87","-","-3.22%"
"Oct 18","889.66","938.27","948.48","850.99","-","-5.18%"
"Sep 18","938.26","906.63","947.46","887.55","-","3.48%"
"Aug 18","906.69","896.41","916.77","882.47","-","1.15%"
"Jul 18","896.40","879.16","899.50","866.59","-","1.96%"
"Jun 18","879.14","875.73","902.29","868.45","-","0.41%"
"May 18","875.52","859.96","895.43","857.24","-","1.81%"
"Apr 18","859.96","804.90","869.35","795.42","-","6.78%"
"Mar 18","805.32","819.78","822.85","783.15","-","-1.76%"
"Feb 18","819.77","811.04","827.81","770.76","-","1.08%"
"Jan 18","811.01","814.51","843.74","807.06","-","-0.42%"
"Dec 17","814.45","796.78","819.66","781.73","-","2.21%"
"Nov 17","796.83","807.09","822.19","789.29","-","-1.25%"
"Oct 17","806.95","783.06","810.55","782.58","-","3.05%"
"Sep 17","783.09","740.20","783.86","739.64","-","5.84%"
"Aug 17","739.87","732.53","744.36","718.03","-","1.00%"
"Jul 17","732.51","698.64","737.22","696.22","-","4.86%"
"Jun 17","698.58","710.34","716.09","690.80","-","-1.66%"
"May 17","710.34","697.69","728.33","696.40","-","1.82%"
"Apr 17","697.66","687.85","701.36","680.13","-","1.43%"
"Mar 17","687.85","690.26","708.54","677.65","-","-0.35%"
"Feb 17","690.27","693.12","702.99","684.87","-","-0.41%"
"Jan 17","693.12","683.87","711.21","683.87","-","1.35%"
"Dec 16","683.87","656.70","692.27","656.06","-","4.15%"
"Nov 16","656.63","638.21","660.51","616.75","-","2.89%"
"Oct 16","638.20","622.69","646.12","622.30","-","2.49%"
"Sep 16","622.69","618.93","630.24","596.72","-","0.61%"
"Aug 16","618.93","612.63","626.02","599.52","-","1.03%"
