Release Date,Time,Actual,Forecast,Previous,
"Jul 31, 2019 (Jul)",00:01,-11,-13,-13,
"Jun 28, 2019 (Jun)",00:01,-13,-11,-10,
"May 31, 2019 (May)",00:01,-10,-12,-13,
"Apr 30, 2019 (Apr)",00:01,-13,-12,-13,
"Mar 29, 2019 (Mar)",01:01,-13,-14,-13,
"Feb 28, 2019 (Feb)",01:01,-13,-15,-14,
"Jan 31, 2019 (Jan)",01:01,-14,-14,-14,
"Dec 21, 2018 (Dec)",01:01,-14,-14,-13,
"Nov 30, 2018 (Nov)",01:01,-13,-11,-10,
"Oct 31, 2018 (Oct)",01:01,-10,-10,-9,
"Sep 28, 2018 (Sep)",00:01,-9,-8,-7,
"Aug 31, 2018 (Aug)",00:01,-7,-10,-10,
"Jul 31, 2018 (Jul)",00:01,-10,-9,-9,
"Jun 29, 2018 (Jun)",00:01,-9,-7,-7,
"May 31, 2018 (May)",00:01,-7,-8,-9,
"Apr 27, 2018 (Apr)",00:01,-9,-7,-7,
"Mar 29, 2018 (Mar)",00:01,-7,-10,-10,
"Feb 28, 2018 (Feb)",01:01,-10,-10,-9,
"Jan 31, 2018 (Jan)",17:00,-9,-13,-13,
"Dec 21, 2017 (Dec)",01:01,-13,-12,-12,
"Nov 30, 2017 (Nov)",01:01,-12,-11,-10,
"Oct 31, 2017 (Oct)",01:01,-10,-10,-9,
"Sep 29, 2017 (Sep)",00:01,-9,-11,-10,
"Aug 31, 2017 (Aug)",00:01,-10,-13,-12,
"Jul 28, 2017 (Jul)",00:01,-12,-11,-10,
"Jun 30, 2017 (Jun)",00:01,-10,-7,-5,
"May 31, 2017 (May)",00:01,-5,-8,-7,
"Apr 28, 2017 (Apr)",00:01,-7,-7,-6,
"Mar 31, 2017 (Mar)",00:01,-6,-7,-6,
"Feb 28, 2017 (Feb)",01:01,-6,-6,-5,
"Jan 31, 2017 (Jan)",01:01,-5,-8,-7,
"Dec 22, 2016 (Dec)",01:01,-7,-8,-8,
"Nov 30, 2016 (Nov)",01:01,-8,-4,-3,
"Oct 28, 2016 (Oct)",01:01,-3,-3,-1,
"Sep 30, 2016 (Sep)",00:01,-1,-5,-7,
"Aug 31, 2016 (Aug)",00:01,-7,-8,-12,
"Jul 29, 2016 (Jul)",00:01,-12,-8,-9,
"Jul 08, 2016",00:05  ,-9, ,-1,
"Jun 30, 2016 (Jun)",00:05,-1,-2,-1,
"May 27, 2016 (May)",00:05,-1,-1,-3,
"Apr 29, 2016 (Apr)",00:05,-3,-1,0,
"Mar 31, 2016 (Mar)",00:01,0,-1,0,
"Feb 26, 2016 (Feb)",01:05,0,3,4,
"Jan 29, 2016 (Jan)",01:05,4,1,2,
"Dec 22, 2015 (Dec)",01:05,2,1,1,
"Nov 27, 2015 (Nov)",01:05,1,2,2,
"Oct 30, 2015 (Oct)",01:05,2,4,3,
"Sep 30, 2015 (Sep)",00:05,3,6,7,
"Aug 28, 2015 (Aug)",00:01,7,4,4,
"Jul 31, 2015 (Jul)",00:05,4,5,7,
"Jun 30, 2015 (Jun)",00:05,7,2,1,
"May 29, 2015 (May)",00:05,1,4,4,
"Apr 30, 2015 (Apr)",00:05,4,4,4,
"Mar 31, 2015 (Mar)",00:05,4,2,1,
"Feb 27, 2015 (Feb)",01:05,1,2,1,
"Jan 30, 2015 (Jan)",01:05,1,-2,-4,
"Dec 19, 2014 (Dec)",01:05,-4,-1,-2,
"Nov 28, 2014 (Nov)",01:05,-2,-1,-2,
"Oct 31, 2014 (Oct)",01:05,-2,-2,-1,
"Sep 30, 2014 (Sep)",00:05,-1,0,1,
"Aug 29, 2014",00:05,1,-1,-2,
"Jul 31, 2014",00:05,-2,2,1,
"Jun 27, 2014",00:05,1,2,0,
