Release Date,Time,Actual,Forecast,Previous,
"Jul 31, 2019 (Jul)",18:30,51.3, ,49.4,
"Jun 30, 2019 (Jun)",18:30,49.4, ,52.7,
"Jun 02, 2019 (May)",18:30,52.7, ,54.8,
"Apr 30, 2019 (Apr)",18:30,54.8,51.0,51.0,
"Mar 31, 2019 (Mar)",18:30,51.0, ,54.0,
"Feb 28, 2019 (Feb)",18:30,54.0, ,52.5,
"Jan 31, 2019 (Jan)",17:30,52.5, ,49.5,
"Jan 06, 2019 (Dec)",17:30,49.5, ,51.3,
"Dec 02, 2018 (Nov)",17:30,51.3, ,58.3,
"Oct 31, 2018 (Oct)",17:30,58.3, ,59.0,
"Oct 01, 2018 (Sep)",18:30,59.0, ,56.7,
"Sep 30, 2018 (Sep)",18:30,59.0, ,56.7,
"Sep 02, 2018 (Aug)",18:30,56.7, ,52.0,
"Jul 31, 2018 (Jul)",18:30,52.0, ,57.4,
"Jul 01, 2018 (Jun)",18:30,57.4, ,57.5,
"May 31, 2018 (May)",19:30,57.5, ,58.3,
"Apr 30, 2018 (Apr)",18:30,58.3, ,63.1,
"Apr 02, 2018 (Mar)",18:30,63.1, ,57.5,
"Feb 28, 2018 (Feb)",19:30,57.5, ,58.7,
"Jan 31, 2018 (Jan)",18:30,58.7, ,56.2,
"Jan 01, 2018 (Dec)",18:30,56.2, ,57.3,
"Nov 30, 2017 (Nov)",18:30,57.3, ,51.1,
"Oct 31, 2017 (Oct)",18:30,51.1, ,54.2,
"Oct 01, 2017 (Sep)",18:30,54.2, ,59.8,
"Aug 31, 2017 (Aug)",19:30,59.8, ,56.0,
"Jul 31, 2017 (Jul)",19:30,56.0, ,55.0,
"Jul 02, 2017 (May)",19:30,55.0, ,54.8,
"May 31, 2017 (May)",19:30,54.8, ,59.2,
"Apr 30, 2017 (Apr)",19:30,59.2, ,57.5,
"Apr 02, 2017 (Mar)",19:30,57.5, ,59.3,
"Feb 28, 2017 (Feb)",18:30,59.3, ,51.2,
"Feb 01, 2017 (Jan)",18:30,51.2, ,55.4,
"Jan 31, 2017 (Jan)",18:30,51.2, ,55.4,
"Jan 02, 2017",18:30,55.4, ,54.2,
"Nov 30, 2016 (Nov)",18:30,54.2, ,50.9,
"Oct 31, 2016 (Oct)",18:30,50.9, ,49.8,
"Oct 02, 2016 (Sep)",18:30,49.8, ,46.9,
"Aug 31, 2016 (Aug)",19:30,46.9, ,56.4,
"Jul 31, 2016 (Jul)",19:30,56.4, ,51.8,
"Jun 30, 2016 (Jun)",19:30,51.8, ,51.0,
"Jun 01, 2016 (May)",19:30,51.0, ,53.4,
"May 31, 2016 (May)",19:30,51.0, ,53.4,
"May 01, 2016 (Apr)",19:30,53.4, ,58.1,
"Mar 31, 2016 (Mar)",18:30,58.1, ,53.5,
"Feb 29, 2016 (Feb)",18:30,53.5, ,51.5,
"Jan 31, 2016 (Jan)",18:30,51.5, ,51.9,
"Jan 03, 2016 (Dec)",18:30,51.9, ,52.5,
"Nov 30, 2015 (Nov)",18:30,52.5, ,50.2,
"Nov 01, 2015 (Oct)",18:30,50.2, ,52.1,
"Sep 30, 2015 (Sep)",19:30,52.1, ,51.7,
"Aug 31, 2015 (Aug)",19:30,51.7, ,50.4,
"Aug 02, 2015 (Jul)",19:30,50.4, ,44.2,
"Jun 30, 2015 (Jun)",19:30,44.2, ,52.3,
"May 31, 2015 (May)",19:30,52.3, ,48.0,
"Apr 30, 2015 (Apr)",19:30,48.0, ,46.3,
"Mar 31, 2015 (Mar)",18:30,46.3, ,45.4,
"Mar 01, 2015 (Feb)",18:30,45.4, ,49.0,
"Feb 01, 2015 (Jan)",18:30,49.0, ,46.9,
"Jan 04, 2015",18:30,46.9, ,50.1,
"Nov 30, 2014 (Nov)",18:30,50.1, ,49.4,
"Nov 02, 2014 (Oct)",18:30,49.4, ,46.5,
"Sep 30, 2014",19:30,46.5, ,47.3,
"Aug 31, 2014",19:30,47.3, ,50.7,
"Jul 31, 2014",19:30,50.7, ,48.9,
"Jun 30, 2014",19:30,48.9, ,49.2,
"Jun 01, 2014",19:30,49.2, ,44.8,
"Apr 30, 2014",19:30,44.8, ,47.9,
"Mar 31, 2014",18:30,47.9, ,48.6,
"Mar 02, 2014",18:15,48.6, ,46.7,
"Feb 02, 2014",18:30,46.7, ,47.6,
"Jan 01, 2014",18:10,47.6, ,47.7,
"Dec 01, 2013",18:30,47.7, ,53.2,
"Oct 31, 2013",18:30,53.2, ,51.7,
"Sep 30, 2013",19:30,51.7, ,46.4,
"Sep 01, 2013",19:30,46.4, ,42.0,
"Jul 31, 2013",19:30,42.0, ,49.6,
"Jun 30, 2013",19:30,49.6, ,43.8,
"Jun 02, 2013",19:30,43.8, ,36.7,
"Apr 30, 2013",19:30,36.7, ,44.4,
"Apr 01, 2013",18:30,44.4, ,45.6,
"Feb 28, 2013",18:30,45.6, ,40.2,
"Jan 31, 2013",18:30,40.2, ,44.3,
"Jan 01, 2013",18:30,44.3, ,44.3,
"Dec 02, 2012",18:30,43.6, ,45.2,
"Oct 31, 2012",18:30,45.2, ,44.1,
"Sep 30, 2012",19:30,44.1, ,45.3,
"Sep 02, 2012",19:30,45.3, ,40.3,
"Jul 31, 2012",19:30,40.3, ,47.2,
"Jul 01, 2012",19:30,47.2, ,42.4,
"May 31, 2012",19:30,42.4, ,43.9,
"Apr 30, 2012",19:30,43.9, ,49.5,
"Apr 01, 2012",19:30,49.5, ,51.3,
"Feb 29, 2012",18:30,51.3, ,51.6,
"Jan 31, 2012",18:30,51.6, ,50.2,
"Jan 02, 2012",18:30,50.2, ,47.8,
"Nov 30, 2011",18:30,47.8, ,47.4,
"Oct 31, 2011",18:30,47.4, ,42.3,
"Oct 02, 2011",18:30,42.3, ,43.3,
"Aug 31, 2011",19:30,43.3, ,43.4,
"Jul 31, 2011",19:30,43.4, ,52.9,
"Jun 30, 2011",19:30,52.9, ,47.7,
"May 31, 2011",19:30,47.7, ,48.4,
"May 01, 2011",19:30,48.4, ,47.9,
"Mar 31, 2011",18:30,47.9, ,51.1,
"Feb 28, 2011",18:30,51.1, ,46.7,
"Jan 31, 2011",18:30,46.7, ,46.3,
"Jan 03, 2011",18:30,46.3, ,47.6,
"Nov 30, 2010",18:30,47.6, ,49.4,
"Oct 31, 2010",18:30,49.4, ,47.3,
"Sep 30, 2010",19:30,47.3, ,51.7,
"Aug 31, 2010",19:30,51.7, ,54.4,
"Aug 01, 2010",19:30,54.4, ,52.9,
"Jun 30, 2010",19:30,52.9, ,56.3,
"May 31, 2010",19:30,56.3, ,59.8,
"May 02, 2010",19:30,59.8, ,50.5,
"Mar 31, 2010",18:30,50.2, ,53.8,
"Feb 28, 2010",18:30,53.8, ,51.0,
"Jan 31, 2010",18:30,51.0, ,48.5,
"Jan 03, 2010",18:30,48.5, ,51.2,
"Nov 30, 2009",18:30,51.2, ,51.7,
"Nov 01, 2009",18:30,51.7, ,52.0,
"Sep 30, 2009",19:30,52.0, ,51.7,
"Aug 31, 2009",19:30,51.7, ,44.5,
"Aug 02, 2009",19:30,44.5, ,38.4,
"Jun 30, 2009",19:30,38.4, ,37.5,
"May 31, 2009",19:30,37.5, ,30.1,
"Apr 30, 2009",19:30,30.1, ,33.2,
"Mar 31, 2009",18:30,33.4, ,31.7,
"Feb 28, 2009",20:00,31.7, ,36.6,
"Jan 31, 2009",20:00,36.6, ,33.7,
"Dec 31, 2008",20:00,33.7, ,32.7,
"Nov 02, 2008",18:30,40.4, ,47.2,
"Jul 30, 2008",20:00,46.9, ,47.0,
"Jun 30, 2008",19:30,47.0, ,51.2,
"Jun 01, 2008",20:30,51.2, ,52.7,
"Apr 30, 2008",19:30,52.7,0.0,51.2,
"Mar 31, 2008",18:30,51.2,0.0,51.4,
"Mar 02, 2008",18:30,51.4,0.0,49.2,
"Feb 01, 2008 (Jan)",05:00,46.95, ,56.05,
"Jan 01, 2008 (Dec)",05:00,56.05, ,54.90,
"Dec 01, 2007 (Nov)",05:00,54.90, ,51.95,
"Nov 01, 2007 (Oct)",05:00,51.95, ,49.65,
"Oct 01, 2007 (Sep)",05:00,49.65, ,51.61,
"Sep 01, 2007 (Aug)",05:00,51.61, ,57.58,
"Aug 01, 2007 (Jul)",05:00,57.58, ,52.72,
"Jul 01, 2007 (Jun)",05:00,52.72, ,55.23,
"Jun 01, 2007 (May)",05:00,55.23, ,52.05,
"May 01, 2007 (Apr)",05:00,52.05, ,53.84,
"Apr 01, 2007 (Mar)",05:00,53.84, ,57.88,
"Mar 01, 2007 (Feb)",05:00,57.88, ,52.90,
"Feb 01, 2007 (Jan)",05:00,52.90, ,53.10,
"Jan 01, 2007 (Dec)",05:00,53.10, ,53.72,
"Dec 01, 2006 (Nov)",05:00,53.72, ,51.10,
"Nov 01, 2006 (Oct)",05:00,51.10, ,52.28,
"Oct 01, 2006 (Sep)",05:00,52.28, ,49.52,
"Sep 01, 2006 (Aug)",05:00,49.52, ,49.00,
"Aug 01, 2006 (Jul)",05:00,49.00, ,54.99,
"Jul 01, 2006 (Jun)",05:00,54.99, ,48.39,
"Jun 01, 2006 (May)",05:00,48.39, ,51.24,
"May 01, 2006 (Apr)",05:00,51.24, ,52.91,
"Apr 01, 2006 (Mar)",05:00,52.91, ,48.33,
"Mar 01, 2006 (Feb)",05:00,48.33, ,49.86,
"Feb 01, 2006 (Jan)",05:00,49.86, ,50.49,
"Jan 01, 2006 (Dec)",05:00,50.49, ,44.73,
"Dec 01, 2005 (Nov)",05:00,44.73, ,47.15,
"Nov 01, 2005 (Oct)",05:00,47.15, ,51.02,
"Oct 01, 2005 (Sep)",05:00,51.02, ,43.92,
"Sep 01, 2005 (Aug)",05:00,43.92, ,50.12,
"Aug 01, 2005 (Jul)",05:00,50.12, ,54.64,
"Jul 01, 2005 (Jun)",05:00,54.64, ,50.84,
"Jun 01, 2005 (May)",05:00,50.84, ,52.62,
"May 01, 2005 (Apr)",05:00,52.62, ,51.29,
"Apr 01, 2005 (Mar)",05:00,51.29, ,52.15,
"Mar 01, 2005 (Feb)",05:00,52.15, ,55.65,
