Release Date,Time,Actual,Forecast,Previous,
"Aug 01, 2019 (Jul)",02:00,49.3, ,48.6,
"Jul 01, 2019 (Jun)",02:00,48.6, ,49.8,
"Jun 03, 2019 (May)",02:00,49.8, ,51.8,
"Apr 30, 2019 (Apr)",02:00,51.8, ,52.8,
"Apr 01, 2019 (Mar)",02:00,52.8, ,50.1,
"Mar 01, 2019 (Feb)",02:00,50.1, ,50.9,
"Feb 01, 2019 (Jan)",02:00,50.9, ,51.7,
"Dec 28, 2018 (Dec)",02:00,51.7, ,52.6,
"Dec 03, 2018 (Nov)",02:00,52.6, ,51.3,
"Nov 01, 2018 (Oct)",02:00,51.3, ,50.0,
"Oct 01, 2018 (Sep)",02:00,50.0, ,48.9,
"Sep 03, 2018 (Aug)",02:00,48.9, ,48.1,
"Aug 01, 2018 (Jul)",02:00,48.1, ,49.5,
"Jul 02, 2018 (Jun)",02:00,49.5, ,49.8,
"Jun 01, 2018 (May)",02:00,49.8, ,51.3,
"May 03, 2018 (Apr)",02:00,51.3, ,50.6,
"Apr 02, 2018 (Mar)",02:00,50.6, ,50.2,
"Mar 01, 2018 (Feb)",02:00,50.2, ,52.1,
"Feb 01, 2018 (Jan)",02:00,52.1, ,52.0,
"Dec 28, 2017 (Dec)",02:00,52.0, ,51.5,
"Dec 01, 2017 (Nov)",02:00,51.5, ,51.1,
"Nov 01, 2017 (Oct)",02:00,51.1, ,51.9,
"Oct 02, 2017 (Sep)",02:00,51.9, ,51.6,
"Sep 01, 2017 (Aug)",02:00,51.6, ,52.7,
"Aug 01, 2017 (Jul)",02:00,52.7, ,50.3,
"Jul 03, 2017 (Jun)",02:00,50.3, ,52.4,
"Jun 01, 2017 (May)",02:00,52.4, ,52.4,
"Apr 03, 2017 (Mar)",02:00,52.4, ,52.5,
"Mar 01, 2017 (Feb)",02:00,52.5, ,54.7,
"Feb 01, 2017 (Jan)",02:00,54.7, ,53.7,
"Jan 10, 2017 (Dec)",02:00,53.7, ,53.6,
"Dec 29, 2016",02:00,53.7, ,53.6,
"Dec 01, 2016 (Nov)",02:00,53.6, ,52.4,
"Nov 01, 2016 (Oct)",02:00,52.4, ,51.1,
"Oct 03, 2016 (Sep)",02:00,51.1, ,50.8,
"Sep 01, 2016 (Aug)",02:00,50.8, ,49.5,
"Aug 01, 2016 (Jul)",02:00,49.5, ,51.5,
"Jul 01, 2016 (Jun)",02:00,51.5, ,49.6,
"Jun 01, 2016 (May)",02:00,49.6,48.6,48.0,
"Apr 29, 2016 (Apr)",02:00,48.0, ,48.3,
"Apr 01, 2016 (Mar)",02:00,48.3, ,49.3,
"Mar 01, 2016 (Feb)",02:00,49.3,49.5,49.8,
"Feb 01, 2016 (Jan)",02:00,49.8,47.5,48.7,
"Dec 30, 2015 (Dec)",02:00,48.7,49.5,50.1,
"Dec 01, 2015 (Nov)",02:00,50.1,50.0,50.2,
"Nov 02, 2015 (Oct)",02:00,50.2,49.0,49.1,
"Oct 01, 2015 (Sep)",02:00,49.1, ,47.9,
"Sep 01, 2015 (Aug)",02:00,47.9,48.2,48.3,
"Aug 03, 2015 (Jul)",02:00,48.3,48.8,48.7,
"Jul 01, 2015 (Jun)",02:00,48.7,48.0,47.6,
"Jun 01, 2015 (May)",02:00,47.6,48.8,48.9,
"May 05, 2015",03:00,48.9, ,48.1,
"Apr 01, 2015",03:00,48.1, ,49.7,
"Mar 02, 2015",02:00,49.7, ,47.6,
"Feb 01, 2015 (Jan)",05:00,47.60, ,48.90,
"Jan 01, 2015 (Dec)",05:00,48.90, ,51.70,
"Dec 01, 2014 (Nov)",05:00,51.70, ,50.30,
"Nov 01, 2014 (Oct)",05:00,50.30, ,50.40,
"Oct 01, 2014 (Sep)",05:00,50.40, ,51.00,
"Sep 01, 2014 (Aug)",05:00,51.00, ,51.00,
"Aug 01, 2014 (Jul)",05:00,51.00, ,49.10,
"Jul 01, 2014 (Jun)",05:00,49.10, ,48.90,
"Jun 01, 2014 (May)",05:00,48.90, ,48.50,
"May 01, 2014 (Apr)",05:00,48.50, ,48.30,
"Apr 01, 2014 (Mar)",05:00,48.30, ,48.50,
"Mar 01, 2014 (Feb)",05:00,48.50, ,48.00,
"Feb 01, 2014 (Jan)",05:00,48.00, ,48.80,
"Jan 01, 2014 (Dec)",05:00,48.80, ,49.40,
"Dec 01, 2013 (Nov)",05:00,49.40, ,51.80,
"Nov 01, 2013 (Oct)",05:00,51.80, ,49.40,
"Oct 01, 2013 (Sep)",05:00,49.40, ,49.40,
"Sep 01, 2013 (Aug)",05:00,49.40, ,49.20,
"Aug 01, 2013 (Jul)",05:00,49.20, ,51.70,
"Jul 01, 2013 (Jun)",05:00,51.70, ,50.40,
"Jun 01, 2013 (May)",05:00,50.40, ,50.60,
"May 01, 2013 (Apr)",05:00,50.60, ,50.80,
"Apr 01, 2013 (Mar)",05:00,50.80, ,52.00,
"Mar 01, 2013 (Feb)",05:00,52.00, ,52.00,
"Feb 01, 2013 (Jan)",05:00,52.00, ,50.00,
"Jan 01, 2013 (Dec)",05:00,50.00, ,52.20,
"Dec 01, 2012 (Nov)",05:00,52.20, ,52.90,
"Nov 01, 2012 (Oct)",05:00,52.90, ,52.40,
"Oct 01, 2012 (Sep)",05:00,52.40, ,51.00,
"Sep 01, 2012 (Aug)",05:00,51.00, ,52.00,
"Aug 01, 2012 (Jul)",05:00,52.00, ,51.00,
"Jul 01, 2012 (Jun)",05:00,51.00, , ,
