"institutions","item/counterpart-sector","Monetary financial institutions´ (MFI) assets and liabilities, SEK millions 2004M01","Monetary financial institutions´ (MFI) assets and liabilities, SEK millions 2004M02","Monetary financial institutions´ (MFI) assets and liabilities, SEK millions 2004M03","Monetary financial institutions´ (MFI) assets and liabilities, SEK millions 2004M04","Monetary financial institutions´ (MFI) assets and liabilities, SEK millions 2004M05","Monetary financial institutions´ (MFI) assets and liabilities, SEK millions 2004M06","Monetary financial institutions´ (MFI) assets and liabilities, SEK millions 2004M07","Monetary financial institutions´ (MFI) assets and liabilities, SEK millions 2004M08","Monetary financial institutions´ (MFI) assets and liabilities, SEK millions 2004M09","Monetary financial institutions´ (MFI) assets and liabilities, SEK millions 2004M10","Monetary financial institutions´ (MFI) assets and liabilities, SEK millions 2004M11","Monetary financial institutions´ (MFI) assets and liabilities, SEK millions 2004M12","Monetary financial institutions´ (MFI) assets and liabilities, SEK millions 2005M01","Monetary financial institutions´ (MFI) assets and liabilities, SEK millions 2005M02","Monetary financial institutions´ (MFI) assets and liabilities, SEK millions 2005M03","Monetary financial institutions´ (MFI) assets and liabilities, SEK millions 2005M04","Monetary financial institutions´ (MFI) assets and liabilities, SEK millions 2005M05","Monetary financial institutions´ (MFI) assets and liabilities, SEK millions 2005M06","Monetary financial institutions´ (MFI) assets and liabilities, SEK millions 2005M07","Monetary financial institutions´ (MFI) assets and liabilities, SEK millions 2005M08","Monetary financial institutions´ (MFI) assets and liabilities, SEK millions 2005M09","Monetary financial institutions´ (MFI) assets and liabilities, SEK millions 2005M10","Monetary financial institutions´ (MFI) assets and liabilities, SEK millions 2005M11","Monetary financial institutions´ (MFI) assets and liabilities, SEK millions 2005M12","Monetary financial institutions´ (MFI) assets and liabilities, SEK millions 2006M01","Monetary financial institutions´ (MFI) assets and liabilities, SEK millions 2006M02","Monetary financial institutions´ (MFI) assets and liabilities, SEK millions 2006M03","Monetary financial institutions´ (MFI) assets and liabilities, SEK millions 2006M04","Monetary financial institutions´ (MFI) assets and liabilities, SEK millions 2006M05","Monetary financial institutions´ (MFI) assets and liabilities, SEK millions 2006M06","Monetary financial institutions´ (MFI) assets and liabilities, SEK millions 2006M07","Monetary financial institutions´ (MFI) assets and liabilities, SEK millions 2006M08","Monetary financial institutions´ (MFI) assets and liabilities, SEK millions 2006M09","Monetary financial institutions´ (MFI) assets and liabilities, SEK millions 2006M10","Monetary financial institutions´ (MFI) assets and liabilities, SEK millions 2006M11","Monetary financial institutions´ (MFI) assets and liabilities, SEK millions 2006M12","Monetary financial institutions´ (MFI) assets and liabilities, SEK millions 2007M01","Monetary financial institutions´ (MFI) assets and liabilities, SEK millions 2007M02","Monetary financial institutions´ (MFI) assets and liabilities, SEK millions 2007M03","Monetary financial institutions´ (MFI) assets and liabilities, SEK millions 2007M04","Monetary financial institutions´ (MFI) assets and liabilities, SEK millions 2007M05","Monetary financial institutions´ (MFI) assets and liabilities, SEK millions 2007M06","Monetary financial institutions´ (MFI) assets and liabilities, SEK millions 2007M07","Monetary financial institutions´ (MFI) assets and liabilities, SEK millions 2007M08","Monetary financial institutions´ (MFI) assets and liabilities, SEK millions 2007M09","Monetary financial institutions´ (MFI) assets and liabilities, SEK millions 2007M10","Monetary financial institutions´ (MFI) assets and liabilities, SEK millions 2007M11","Monetary financial institutions´ (MFI) assets and liabilities, SEK millions 2007M12","Monetary financial institutions´ (MFI) assets and liabilities, SEK millions 2008M01","Monetary financial institutions´ (MFI) assets and liabilities, SEK millions 2008M02","Monetary financial institutions´ (MFI) assets and liabilities, SEK millions 2008M03","Monetary financial institutions´ (MFI) assets and liabilities, SEK millions 2008M04","Monetary financial institutions´ (MFI) assets and liabilities, SEK millions 2008M05","Monetary financial institutions´ (MFI) assets and liabilities, SEK millions 2008M06","Monetary financial institutions´ (MFI) assets and liabilities, SEK millions 2008M07","Monetary financial institutions´ (MFI) assets and liabilities, SEK millions 2008M08","Monetary financial institutions´ (MFI) assets and liabilities, SEK millions 2008M09","Monetary financial institutions´ (MFI) assets and liabilities, SEK millions 2008M10","Monetary financial institutions´ (MFI) assets and liabilities, SEK millions 2008M11","Monetary financial institutions´ (MFI) assets and liabilities, SEK millions 2008M12","Monetary financial institutions´ (MFI) assets and liabilities, SEK millions 2009M01","Monetary financial institutions´ (MFI) assets and liabilities, SEK millions 2009M02","Monetary financial institutions´ (MFI) assets and liabilities, SEK millions 2009M03","Monetary financial institutions´ (MFI) assets and liabilities, SEK millions 2009M04","Monetary financial institutions´ (MFI) assets and liabilities, SEK millions 2009M05","Monetary financial institutions´ (MFI) assets and liabilities, SEK millions 2009M06","Monetary financial institutions´ (MFI) assets and liabilities, SEK millions 2009M07","Monetary financial institutions´ (MFI) assets and liabilities, SEK millions 2009M08","Monetary financial institutions´ (MFI) assets and liabilities, SEK millions 2009M09","Monetary financial institutions´ (MFI) assets and liabilities, SEK millions 2009M10","Monetary financial institutions´ (MFI) assets and liabilities, SEK millions 2009M11","Monetary financial institutions´ (MFI) assets and liabilities, SEK millions 2009M12","Monetary financial institutions´ (MFI) assets and liabilities, SEK millions 2010M01","Monetary financial institutions´ (MFI) assets and liabilities, SEK millions 2010M02","Monetary financial institutions´ (MFI) assets and liabilities, SEK millions 2010M03","Monetary financial institutions´ (MFI) assets and liabilities, SEK millions 2010M04","Monetary financial institutions´ (MFI) assets and liabilities, SEK millions 2010M05","Monetary financial institutions´ (MFI) assets and liabilities, SEK millions 2010M06","Monetary financial institutions´ (MFI) assets and liabilities, SEK millions 2010M07","Monetary financial institutions´ (MFI) assets and liabilities, SEK millions 2010M08","Monetary financial institutions´ (MFI) assets and liabilities, SEK millions 2010M09","Monetary financial institutions´ (MFI) assets and liabilities, SEK millions 2010M10","Monetary financial institutions´ (MFI) assets and liabilities, SEK millions 2010M11","Monetary financial institutions´ (MFI) assets and liabilities, SEK millions 2010M12","Monetary financial institutions´ (MFI) assets and liabilities, SEK millions 2011M01","Monetary financial institutions´ (MFI) assets and liabilities, SEK millions 2011M02","Monetary financial institutions´ (MFI) assets and liabilities, SEK millions 2011M03","Monetary financial institutions´ (MFI) assets and liabilities, SEK millions 2011M04","Monetary financial institutions´ (MFI) assets and liabilities, SEK millions 2011M05","Monetary financial institutions´ (MFI) assets and liabilities, SEK millions 2011M06","Monetary financial institutions´ (MFI) assets and liabilities, SEK millions 2011M07","Monetary financial institutions´ (MFI) assets and liabilities, SEK millions 2011M08","Monetary financial institutions´ (MFI) assets and liabilities, SEK millions 2011M09","Monetary financial institutions´ (MFI) assets and liabilities, SEK millions 2011M10","Monetary financial institutions´ (MFI) assets and liabilities, SEK millions 2011M11","Monetary financial institutions´ (MFI) assets and liabilities, SEK millions 2011M12","Monetary financial institutions´ (MFI) assets and liabilities, SEK millions 2012M01","Monetary financial institutions´ (MFI) assets and liabilities, SEK millions 2012M02","Monetary financial institutions´ (MFI) assets and liabilities, SEK millions 2012M03","Monetary financial institutions´ (MFI) assets and liabilities, SEK millions 2012M04","Monetary financial institutions´ (MFI) assets and liabilities, SEK millions 2012M05","Monetary financial institutions´ (MFI) assets and liabilities, SEK millions 2012M06","Monetary financial institutions´ (MFI) assets and liabilities, SEK millions 2012M07","Monetary financial institutions´ (MFI) assets and liabilities, SEK millions 2012M08","Monetary financial institutions´ (MFI) assets and liabilities, SEK millions 2012M09","Monetary financial institutions´ (MFI) assets and liabilities, SEK millions 2012M10","Monetary financial institutions´ (MFI) assets and liabilities, SEK millions 2012M11","Monetary financial institutions´ (MFI) assets and liabilities, SEK millions 2012M12","Monetary financial institutions´ (MFI) assets and liabilities, SEK millions 2013M01","Monetary financial institutions´ (MFI) assets and liabilities, SEK millions 2013M02","Monetary financial institutions´ (MFI) assets and liabilities, SEK millions 2013M03","Monetary financial institutions´ (MFI) assets and liabilities, SEK millions 2013M04","Monetary financial institutions´ (MFI) assets and liabilities, SEK millions 2013M05","Monetary financial institutions´ (MFI) assets and liabilities, SEK millions 2013M06","Monetary financial institutions´ (MFI) assets and liabilities, SEK millions 2013M07","Monetary financial institutions´ (MFI) assets and liabilities, SEK millions 2013M08","Monetary financial institutions´ (MFI) assets and liabilities, SEK millions 2013M09","Monetary financial institutions´ (MFI) assets and liabilities, SEK millions 2013M10","Monetary financial institutions´ (MFI) assets and liabilities, SEK millions 2013M11","Monetary financial institutions´ (MFI) assets and liabilities, SEK millions 2013M12","Monetary financial institutions´ (MFI) assets and liabilities, SEK millions 2014M01","Monetary financial institutions´ (MFI) assets and liabilities, SEK millions 2014M02","Monetary financial institutions´ (MFI) assets and liabilities, SEK millions 2014M03","Monetary financial institutions´ (MFI) assets and liabilities, SEK millions 2014M04","Monetary financial institutions´ (MFI) assets and liabilities, SEK millions 2014M05","Monetary financial institutions´ (MFI) assets and liabilities, SEK millions 2014M06","Monetary financial institutions´ (MFI) assets and liabilities, SEK millions 2014M07","Monetary financial institutions´ (MFI) assets and liabilities, SEK millions 2014M08","Monetary financial institutions´ (MFI) assets and liabilities, SEK millions 2014M09","Monetary financial institutions´ (MFI) assets and liabilities, SEK millions 2014M10","Monetary financial institutions´ (MFI) assets and liabilities, SEK millions 2014M11","Monetary financial institutions´ (MFI) assets and liabilities, SEK millions 2014M12","Monetary financial institutions´ (MFI) assets and liabilities, SEK millions 2015M01","Monetary financial institutions´ (MFI) assets and liabilities, SEK millions 2015M02","Monetary financial institutions´ (MFI) assets and liabilities, SEK millions 2015M03","Monetary financial institutions´ (MFI) assets and liabilities, SEK millions 2015M04","Monetary financial institutions´ (MFI) assets and liabilities, SEK millions 2015M05","Monetary financial institutions´ (MFI) assets and liabilities, SEK millions 2015M06","Monetary financial institutions´ (MFI) assets and liabilities, SEK millions 2015M07","Monetary financial institutions´ (MFI) assets and liabilities, SEK millions 2015M08","Monetary financial institutions´ (MFI) assets and liabilities, SEK millions 2015M09","Monetary financial institutions´ (MFI) assets and liabilities, SEK millions 2015M10","Monetary financial institutions´ (MFI) assets and liabilities, SEK millions 2015M11","Monetary financial institutions´ (MFI) assets and liabilities, SEK millions 2015M12","Monetary financial institutions´ (MFI) assets and liabilities, SEK millions 2016M01","Monetary financial institutions´ (MFI) assets and liabilities, SEK millions 2016M02","Monetary financial institutions´ (MFI) assets and liabilities, SEK millions 2016M03","Monetary financial institutions´ (MFI) assets and liabilities, SEK millions 2016M04","Monetary financial institutions´ (MFI) assets and liabilities, SEK millions 2016M05","Monetary financial institutions´ (MFI) assets and liabilities, SEK millions 2016M06","Monetary financial institutions´ (MFI) assets and liabilities, SEK millions 2016M07","Monetary financial institutions´ (MFI) assets and liabilities, SEK millions 2016M08","Monetary financial institutions´ (MFI) assets and liabilities, SEK millions 2016M09","Monetary financial institutions´ (MFI) assets and liabilities, SEK millions 2016M10","Monetary financial institutions´ (MFI) assets and liabilities, SEK millions 2016M11","Monetary financial institutions´ (MFI) assets and liabilities, SEK millions 2016M12","Monetary financial institutions´ (MFI) assets and liabilities, SEK millions 2017M01","Monetary financial institutions´ (MFI) assets and liabilities, SEK millions 2017M02","Monetary financial institutions´ (MFI) assets and liabilities, SEK millions 2017M03","Monetary financial institutions´ (MFI) assets and liabilities, SEK millions 2017M04","Monetary financial institutions´ (MFI) assets and liabilities, SEK millions 2017M05","Monetary financial institutions´ (MFI) assets and liabilities, SEK millions 2017M06","Monetary financial institutions´ (MFI) assets and liabilities, SEK millions 2017M07","Monetary financial institutions´ (MFI) assets and liabilities, SEK millions 2017M08","Monetary financial institutions´ (MFI) assets and liabilities, SEK millions 2017M09","Monetary financial institutions´ (MFI) assets and liabilities, SEK millions 2017M10","Monetary financial institutions´ (MFI) assets and liabilities, SEK millions 2017M11","Monetary financial institutions´ (MFI) assets and liabilities, SEK millions 2017M12","Monetary financial institutions´ (MFI) assets and liabilities, SEK millions 2018M01","Monetary financial institutions´ (MFI) assets and liabilities, SEK millions 2018M02","Monetary financial institutions´ (MFI) assets and liabilities, SEK millions 2018M03","Monetary financial institutions´ (MFI) assets and liabilities, SEK millions 2018M04","Monetary financial institutions´ (MFI) assets and liabilities, SEK millions 2018M05","Monetary financial institutions´ (MFI) assets and liabilities, SEK millions 2018M06","Monetary financial institutions´ (MFI) assets and liabilities, SEK millions 2018M07","Monetary financial institutions´ (MFI) assets and liabilities, SEK millions 2018M08","Monetary financial institutions´ (MFI) assets and liabilities, SEK millions 2018M09","Monetary financial institutions´ (MFI) assets and liabilities, SEK millions 2018M10","Monetary financial institutions´ (MFI) assets and liabilities, SEK millions 2018M11","Monetary financial institutions´ (MFI) assets and liabilities, SEK millions 2018M12","Monetary financial institutions´ (MFI) assets and liabilities, SEK millions 2019M01","Monetary financial institutions´ (MFI) assets and liabilities, SEK millions 2019M02","Monetary financial institutions´ (MFI) assets and liabilities, SEK millions 2019M03","Monetary financial institutions´ (MFI) assets and liabilities, SEK millions 2019M04","Monetary financial institutions´ (MFI) assets and liabilities, SEK millions 2019M05","Monetary financial institutions´ (MFI) assets and liabilities, SEK millions 2019M06"
"1. Monetary Financial Institutions (MFI), incl. Central Bank","Foreign deposits (MFI and non-MFI)",823706,840310,910745,1009999,951190,987875,964213,947977,947109,980606,1016121,1047657,1057187,1072949,1167130,1232531,1213932,1161922,1111550,1085846,1090467,1120279,1158897,1123857,1153342,1248046,1293860,1446067,1326939,1250928,1322075,1288872,1303878,1284410,1229103,1280493,1304048,1348422,1404382,1458653,1401370,1311130,1295652,1310095,1281632,1247761,1381146,1273774,1574725,1625619,1612306,1736460,1624209,1546982,1573751,1613274,1828534,1961439,2128322,1979251,2020852,2192874,2069134,2061715,1909459,1798854,1622606,1559828,1487613,1504941,1510274,1516764,1464827,1480037,1426660,1499185,1592341,1599583,1522918,1523090,1417024,1458578,1490315,1410008,1404764,1394511,1471493,1559513,1475884,1477066,1540918,1464108,1573650,1541397,1594204,1531373,1553707,1512547,1544623,1557938,1669242,1632142,1597620,1611943,1597477,1574135,1573997,1476610,1555032,1555542,1537770,1597053,1510381,1495954,1440999,1496135,1515511,1586033,1553080,1402518,1531342,1505988,1637647,1608209,1625138,1712383,1675741,1690647,1698984,1677096,1666133,1611132,1716772,1684972,1856979,1667876,1645916,1683224,1771284,1841220,1828068,1800142,1853450,1525050,1664172,1746195,1714021,1718268,1766700,1807248,1823942,1877087,1905888,1936225,1981138,1745757,2106704,2169398,2328236,2170781,2075001,2087558,2007194,2088058,2128142,2094922,2113064,1911098,2050758,2134251,2155670,2158609,2331594,2335298,2298575,2333452,2158822,2281375,2221257,2134171,2212635,2276576,2250258,2285785,2299537,2121842
"1. Monetary Financial Institutions (MFI), incl. Central Bank","Foreign loans (MFI and non-MFI)",584960,579605,585282,720787,654668,642614,621054,637979,681789,698668,734622,687544,695962,726102,788274,820852,827116,760214,770278,803736,824749,880061,899798,837030,896622,916775,1045759,1159020,1098082,998128,1071074,1022413,1067223,1098998,1026557,1091553,1153410,1208705,1407265,1398498,1379243,1285733,1237438,1237750,1287122,1320757,1424646,1343007,1374004,1382953,1392004,1541480,1518815,1457106,1577282,1611611,1651919,1643691,1730796,1653855,1633432,1786495,1748945,1804416,1899033,1752185,1593291,1579737,1560723,1576210,1583088,1568790,1607755,1640181,1678050,1757075,1782533,1836370,1769549,1790264,1676481,1691515,1731116,1603676,1656896,1606519,1666961,1807424,1721355,1705445,1762570,1819135,1912884,1970653,2038802,1998630,2157713,2009772,2043115,2001446,2090933,2151060,2189771,2199266,2200306,2178683,2090356,2032020,2109660,2052711,2051653,2162254,2181165,2123350,2092131,2189462,2207944,2267474,2267536,2197760,2261853,2223094,2348092,2363665,2425332,2487189,2467291,2402699,2444996,2441899,2428050,2427050,2568624,2522463,2664487,2460926,2535707,2536642,2614682,2614849,2584858,2562642,2694481,2412891,2560259,2629473,2564397,2559726,2531410,2541346,2593819,2609369,2654026,2783308,2754962,2549298,2993442,3059676,3101758,3015718,2950859,2968387,2870038,2901266,2951827,2991580,3042954,2839319,2923134,2988231,3070070,2993689,3175406,3219562,3206559,3259080,3219029,2775381,2693111,2536543,2596531,2639158,2656793,2623071,2638847,2497309
"1. Monetary Financial Institutions (MFI), incl. Central Bank","Domestic deposits from non-MFI /",1102592,1103806,1112124,1099683,1106240,1079952,1068216,1071694,1110855,1101228,1128232,1126296,1129416,1166967,1146848,1153108,1177001,1215054,1195930,1199776,1213063,1263683,1257906,1283985,1298582,1300899,1288195,1323719,1354886,1398078,1357160,1394064,1433179,1419815,1430672,1455213,1468912,1457356,1472552,1502567,1550983,1579044,1543032,1613257,1592656,1605645,1626209,1624053,1646490,1647787,1642006,1677899,1669324,1656672,1702175,1719295,1762477,1805280,1802905,1824833,1800567,1750120,1757202,1759372,1742938,1847239,1811321,1838735,1863786,1907036,1903012,1950765,1966771,1946984,1950818,1963095,1956150,1987085,1998962,1990888,2033555,2062359,2082102,2094329,2129265,2090588,2134406,2097975,2100935,2120246,2104623,2160919,2212187,2214326,2234025,2230474,2328996,2307163,2320881,2300216,2274447,2329566,2290650,2326172,2391575,2366124,2364034,2380907,2509823,2503650,2541012,2534647,2534672,2574182,2530633,2559291,2592994,2590226,2643614,2619217,2677808,2654591,2678591,2643399,2688532,2732157,2708964,2716711,2751236,2768687,2817004,2863389,2823813,2843633,2882874,2887895,2946899,3014548,3010776,3011053,3023521,3049009,3065376,3040623,3123112,3111612,3182647,3185802,3171360,3189117,3230509,3236648,3262049,3321785,3320712,3334794,3436058,3413995,3502924,3539408,3519624,3619583,3603816,3570538,3608571,3646811,3691820,3620608,3650860,3678560,3708904,3769214,3729717,3811302,3786469,3787494,3807576,3788899,3810785,3810107,3882339,3928669,3913565,3888425,3944035,3987854
"1. Monetary Financial Institutions (MFI), incl. Central Bank","Domestic deposits from non-MFI / Deposits from general government sector ",33637,40506,33459,39233,41784,33452,35978,33915,44830,46591,57128,42354,40933,66722,40356,44584,52959,44744,48196,51123,52617,56968,68321,55692,45387,64103,41808,48344,76797,77734,57869,66990,65939,73556,73045,70452,45681,61486,40066,57938,92497,81322,75528,106493,88833,77590,85539,62759,61185,71472,57920,79675,87667,55518,80556,90982,132619,179109,162897,93698,73876,59062,44217,51711,53680,123342,115470,131000,153581,178624,169459,177815,162479,166194,160180,168298,171417,163073,158394,168116,177105,171773,172127,153085,156486,164790,171907,169231,190886,167301,168268,198510,177757,173870,195869,155713,197117,199700,194058,200481,217172,202198,195715,213796,217251,202410,209563,169812,290469,303753,311805,324112,343495,328787,320739,338569,337706,321058,353728,277856,331262,328247,328615,327681,355579,346279,340563,336542,348773,348969,355015,375522,353236,362269,368819,371739,411937,380480,383163,391229,382756,386224,394666,379473,382258,395100,429607,420666,393017,376603,383180,383060,400798,436097,410225,407737,390847,407563,400361,418062,402567,395473,414176,389205,398502,417646,411309,411379,399971,412534,405368,435858,432534,443207,440615,452182,448986,421040,438386,450950,450817,511026,445302,439925,445021,438930
"1. Monetary Financial Institutions (MFI), incl. Central Bank","Domestic deposits from non-MFI /Deposits from financial corporations, non-MFI",120363,112139,116089,100241,103993,102986,83608,81925,95246,86468,90285,116361,111901,121384,116659,105929,112682,117089,106563,114918,116610,140551,122658,144967,156636,139934,138639,145927,144321,151506,145419,151817,166730,148112,139730,153771,189059,158126,175173,159349,171850,178581,168474,185387,166095,184307,171681,159761,172491,182541,188506,172791,167727,154908,154676,172562,160396,162593,162361,170755,156859,160285,170300,175542,158877,156572,135403,154424,154440,162282,156707,150594,172300,165728,187111,180212,182383,189730,181811,178318,190958,192031,222413,214487,251256,242145,238627,210838,219255,215019,203355,226434,262623,253515,235705,214743,249323,252504,262371,234889,235793,247495,218321,236274,251896,234383,219624,216302,257577,269143,275990,252273,260178,258384,239372,245030,259409,251187,250760,249500,272131,277650,291087,248925,273246,275590,275140,285886,297751,294448,313623,283276,270673,297346,321162,306548,307064,338458,333506,323868,314323,314902,295637,260198,299473,310399,324866,314857,317933,292292,306229,312073,304393,307892,322938,308642,367727,347749,404940,422321,425602,473500,447179,446471,438512,440867,473724,398200,406509,435073,444078,456305,432093,444849,440858,429690,409487,407964,382121,359579,384154,380149,390212,362013,410128,409716
"1. Monetary Financial Institutions (MFI), incl. Central Bank","Domestic deposits from non-MFI / Deposits from non-financial corporations",374472,368297,388661,382532,375049,361930,365439,365262,373079,365747,385880,393796,387856,384045,391705,393303,402950,430349,410075,401645,400082,421374,422326,458379,457582,448691,450749,457761,453472,466810,449819,464485,470413,468939,484395,511722,497674,491240,499236,515392,511219,507487,493203,502222,492646,503305,516169,524134,529567,516135,518247,532838,513862,524694,538174,512912,534455,537288,537165,604938,602523,558324,582818,563352,555980,575342,571770,557651,558701,567730,586630,613509,613806,588958,600072,606335,590239,595311,618453,601861,605806,618848,615933,627439,625140,589215,627613,610633,585529,605543,589071,589459,612266,621478,631425,662411,678569,650275,657057,651205,605615,622916,627708,620643,641880,659217,663064,695329,668192,638658,648781,661306,633527,645178,642965,635195,646312,661659,673962,717729,697820,670988,684322,687599,667463,693847,681430,663603,679668,695297,703779,753972,742259,717406,740753,737387,730991,764157,759198,751127,766778,774601,799113,817456,833201,804829,818635,815674,818906,835489,843798,849372,854239,869579,877192,907823,959390,942027,970162,945394,938226,969191,958994,944407,950394,967931,982579,971927,1008932,990528,996584,1008064,989912,999934,996319,989739,1007097,1019041,1039886,1033210,1072215,1054624,1082848,1080328,1078648,1082873
"1. Monetary Financial Institutions (MFI), incl. Central Bank","Domestic deposits from non-MFI / Deposits from households",537921,547245,536297,538491,550148,547962,548759,557211,564682,568466,562376,541745,554474,561311,563879,572817,572265,587370,596528,597187,608027,609819,609863,591126,602967,611325,619756,634219,640432,663448,665428,672673,693210,692459,696358,682694,697233,707223,718004,728509,734764,770947,766215,778823,805065,799690,811228,836771,840504,834414,834397,846895,854962,876258,877315,894744,889903,880249,895533,910781,919992,925285,912877,920737,926476,945050,941670,948094,949125,950540,944536,963952,971384,979008,955452,959539,964509,991808,994000,996932,1013784,1034016,1025684,1049082,1049818,1048647,1049592,1059574,1056660,1083962,1095631,1097431,1111847,1118034,1123270,1148269,1154893,1153940,1155493,1159764,1162129,1203924,1195955,1203061,1227577,1217074,1220953,1248739,1240857,1239650,1251840,1243027,1243976,1288388,1275140,1288571,1298507,1303618,1314578,1323154,1324218,1324714,1317992,1324559,1336730,1362729,1357189,1373422,1367680,1373235,1389244,1393635,1398919,1406310,1390765,1409091,1430472,1466934,1468571,1476934,1491842,1505221,1515022,1524591,1547783,1539024,1547145,1570009,1575928,1620345,1632157,1627354,1638689,1642749,1646896,1650203,1655062,1651503,1657908,1684835,1679917,1714314,1715945,1723866,1754471,1752478,1756562,1769510,1767514,1772031,1793565,1797879,1801783,1846635,1838653,1846741,1875668,1874963,1885960,1903453,1908201,1914525,1926060,1934749,1940799,1987036
"1. Monetary Financial Institutions (MFI), incl. Central Bank","Domestic deposits from non-MFI / Deposits from non-profit institutions serving households (NPISH)",36198,35618,37618,39186,35266,33623,34432,33381,33019,33956,32563,32039,34252,33505,34248,36475,36145,35501,34568,34902,35728,34971,34739,33820,36010,36847,37243,37468,39862,38580,38624,38099,36888,36748,37145,36574,39265,39281,40072,41378,40653,40707,39614,40332,40018,40752,41592,40628,42742,43224,42936,45700,45107,45294,51455,48096,45104,46041,44948,44660,47317,47163,46991,48029,47925,46934,47009,47567,47938,47861,45681,44894,46803,47095,48002,48711,47602,47164,46304,45660,45901,45691,45944,50235,46564,45790,46667,47699,48605,48421,48298,49086,47694,47430,47756,49337,49094,50744,51902,53876,53738,53032,52949,52397,52972,53040,50830,50725,52728,52446,52596,53929,53496,53445,52417,51926,51059,52704,50586,50977,52376,52992,54262,54636,55515,53713,54641,57257,57362,56737,55343,56984,58725,60301,61375,63131,66435,64520,66338,67896,67822,68061,60938,58904,60396,62260,62394,64597,65576,64387,65146,64790,63930,65468,63462,60389,63032,65153,69552,68794,73312,67105,67522,66590,66691,67888,67646,69593,67934,68393,69310,71108,73396,76678,70024,69142,66338,65891,64433,62914,66952,68346,69142,71409,69441,69299
"1. Monetary Financial Institutions (MFI), incl. Central Bank","Domestic loans to non-MFI ",2512927,2513284,2553396,2558523,2563372,2576291,2575701,2581837,2614624,2627748,2645601,2686423,2703452,2734181,2763493,2769247,2777550,2846725,2844892,2856445,2932219,2946956,2953602,2985023,2992328,3040335,3083794,3122207,3171237,3207911,3208860,3215344,3271712,3293379,3303456,3320123,3390877,3375981,3420094,3445132,3519642,3564151,3600142,3678728,3709002,3726324,3760086,3812048,3840759,3874645,3900727,3951408,3975916,3998063,4027650,4049206,4078713,4135888,4129401,4122108,4162468,4178817,4165344,4162319,4165867,4185696,4162086,4191748,4203112,4233393,4218751,4270556,4265462,4257082,4279240,4301796,4343344,4385491,4394608,4411050,4442695,4483949,4480236,4472303,4513741,4538333,4598439,4551034,4635858,4642975,4646092,4689763,4749371,4732122,4769206,4738248,4825292,4794288,4801956,4814168,4857859,4864797,4851424,4881644,4903156,4914111,4931382,4890166,4959166,4939098,4963936,4993039,5003874,4999898,4998290,5019703,5029503,5036566,5077484,5025910,5088685,5111753,5140372,5141489,5185954,5208404,5204973,5239218,5272516,5290026,5335104,5371393,5370395,5415764,5426043,5442754,5463327,5524692,5570686,5597686,5594574,5626852,5605034,5579380,5638666,5709210,5801310,5807401,5816852,5874000,5923188,5959241,5986640,6004055,6017641,6026121,6127167,6154627,6196802,6269616,6280429,6326054,6335744,6348874,6357806,6404962,6470136,6502643,6486043,6543223,6567375,6612312,6646562,6706782,6698437,6713673,6743883,6734044,6748682,6787814,6784583,6822827,6917339,6921516,6985512,6994971
"1. Monetary Financial Institutions (MFI), incl. Central Bank","Domestic loans to non-MFI / Loans to general government sector",111270,95089,115428,93240,92882,96254,95115,93146,98107,100086,97651,98664,99000,109464,109678,99030,99438,122087,112451,108266,128954,122491,114214,106996,111057,119723,125331,132394,129042,139117,131348,132286,147101,143277,132091,125937,138183,120389,133626,127457,124918,143468,144040,169917,171712,152812,139340,159031,144523,139831,145592,156203,169363,159217,180068,166838,148651,186790,156294,163687,184908,148221,132409,128146,123328,132205,125906,135339,134934,146959,133900,203179,165494,132340,139675,136509,137166,154129,140962,146460,160533,167361,142049,140536,141816,143416,189260,152326,167247,164244,159481,178570,190519,175365,185396,168417,225705,206513,207859,191564,198496,181597,190560,200171,199925,197556,201034,171444,216912,187772,191553,200383,199496,193494,201941,198071,194021,195285,202517,165017,213034,213396,214647,200108,205253,203628,198368,191385,203409,186312,192587,241672,208492,198706,213858,204451,208641,217210,226272,241313,228217,226957,216501,221240,200214,223634,280998,253912,220158,229787,243124,259916,255763,253867,243718,267188,242866,248752,249889,254157,260813,279842,278139,282987,274096,283519,271736,332470,289453,266995,283640,269000,294408,296445,268635,265034,286636,278779,297831,334344,288142,286280,328526,312568,302363,313838
