"money supply","Money supply, SEK millions 2004M01","Money supply, SEK millions 2004M02","Money supply, SEK millions 2004M03","Money supply, SEK millions 2004M04","Money supply, SEK millions 2004M05","Money supply, SEK millions 2004M06","Money supply, SEK millions 2004M07","Money supply, SEK millions 2004M08","Money supply, SEK millions 2004M09","Money supply, SEK millions 2004M10","Money supply, SEK millions 2004M11","Money supply, SEK millions 2004M12","Money supply, SEK millions 2005M01","Money supply, SEK millions 2005M02","Money supply, SEK millions 2005M03","Money supply, SEK millions 2005M04","Money supply, SEK millions 2005M05","Money supply, SEK millions 2005M06","Money supply, SEK millions 2005M07","Money supply, SEK millions 2005M08","Money supply, SEK millions 2005M09","Money supply, SEK millions 2005M10","Money supply, SEK millions 2005M11","Money supply, SEK millions 2005M12","Money supply, SEK millions 2006M01","Money supply, SEK millions 2006M02","Money supply, SEK millions 2006M03","Money supply, SEK millions 2006M04","Money supply, SEK millions 2006M05","Money supply, SEK millions 2006M06","Money supply, SEK millions 2006M07","Money supply, SEK millions 2006M08","Money supply, SEK millions 2006M09","Money supply, SEK millions 2006M10","Money supply, SEK millions 2006M11","Money supply, SEK millions 2006M12","Money supply, SEK millions 2007M01","Money supply, SEK millions 2007M02","Money supply, SEK millions 2007M03","Money supply, SEK millions 2007M04","Money supply, SEK millions 2007M05","Money supply, SEK millions 2007M06","Money supply, SEK millions 2007M07","Money supply, SEK millions 2007M08","Money supply, SEK millions 2007M09","Money supply, SEK millions 2007M10","Money supply, SEK millions 2007M11","Money supply, SEK millions 2007M12","Money supply, SEK millions 2008M01","Money supply, SEK millions 2008M02","Money supply, SEK millions 2008M03","Money supply, SEK millions 2008M04","Money supply, SEK millions 2008M05","Money supply, SEK millions 2008M06","Money supply, SEK millions 2008M07","Money supply, SEK millions 2008M08","Money supply, SEK millions 2008M09","Money supply, SEK millions 2008M10","Money supply, SEK millions 2008M11","Money supply, SEK millions 2008M12","Money supply, SEK millions 2009M01","Money supply, SEK millions 2009M02","Money supply, SEK millions 2009M03","Money supply, SEK millions 2009M04","Money supply, SEK millions 2009M05","Money supply, SEK millions 2009M06","Money supply, SEK millions 2009M07","Money supply, SEK millions 2009M08","Money supply, SEK millions 2009M09","Money supply, SEK millions 2009M10","Money supply, SEK millions 2009M11","Money supply, SEK millions 2009M12","Money supply, SEK millions 2010M01","Money supply, SEK millions 2010M02","Money supply, SEK millions 2010M03","Money supply, SEK millions 2010M04","Money supply, SEK millions 2010M05","Money supply, SEK millions 2010M06","Money supply, SEK millions 2010M07","Money supply, SEK millions 2010M08","Money supply, SEK millions 2010M09","Money supply, SEK millions 2010M10","Money supply, SEK millions 2010M11","Money supply, SEK millions 2010M12","Money supply, SEK millions 2011M01","Money supply, SEK millions 2011M02","Money supply, SEK millions 2011M03","Money supply, SEK millions 2011M04","Money supply, SEK millions 2011M05","Money supply, SEK millions 2011M06","Money supply, SEK millions 2011M07","Money supply, SEK millions 2011M08","Money supply, SEK millions 2011M09","Money supply, SEK millions 2011M10","Money supply, SEK millions 2011M11","Money supply, SEK millions 2011M12","Money supply, SEK millions 2012M01","Money supply, SEK millions 2012M02","Money supply, SEK millions 2012M03","Money supply, SEK millions 2012M04","Money supply, SEK millions 2012M05","Money supply, SEK millions 2012M06","Money supply, SEK millions 2012M07","Money supply, SEK millions 2012M08","Money supply, SEK millions 2012M09","Money supply, SEK millions 2012M10","Money supply, SEK millions 2012M11","Money supply, SEK millions 2012M12","Money supply, SEK millions 2013M01","Money supply, SEK millions 2013M02","Money supply, SEK millions 2013M03","Money supply, SEK millions 2013M04","Money supply, SEK millions 2013M05","Money supply, SEK millions 2013M06","Money supply, SEK millions 2013M07","Money supply, SEK millions 2013M08","Money supply, SEK millions 2013M09","Money supply, SEK millions 2013M10","Money supply, SEK millions 2013M11","Money supply, SEK millions 2013M12","Money supply, SEK millions 2014M01","Money supply, SEK millions 2014M02","Money supply, SEK millions 2014M03","Money supply, SEK millions 2014M04","Money supply, SEK millions 2014M05","Money supply, SEK millions 2014M06","Money supply, SEK millions 2014M07","Money supply, SEK millions 2014M08","Money supply, SEK millions 2014M09","Money supply, SEK millions 2014M10","Money supply, SEK millions 2014M11","Money supply, SEK millions 2014M12","Money supply, SEK millions 2015M01","Money supply, SEK millions 2015M02","Money supply, SEK millions 2015M03","Money supply, SEK millions 2015M04","Money supply, SEK millions 2015M05","Money supply, SEK millions 2015M06","Money supply, SEK millions 2015M07","Money supply, SEK millions 2015M08","Money supply, SEK millions 2015M09","Money supply, SEK millions 2015M10","Money supply, SEK millions 2015M11","Money supply, SEK millions 2015M12","Money supply, SEK millions 2016M01","Money supply, SEK millions 2016M02","Money supply, SEK millions 2016M03","Money supply, SEK millions 2016M04","Money supply, SEK millions 2016M05","Money supply, SEK millions 2016M06","Money supply, SEK millions 2016M07","Money supply, SEK millions 2016M08","Money supply, SEK millions 2016M09","Money supply, SEK millions 2016M10","Money supply, SEK millions 2016M11","Money supply, SEK millions 2016M12","Money supply, SEK millions 2017M01","Money supply, SEK millions 2017M02","Money supply, SEK millions 2017M03","Money supply, SEK millions 2017M04","Money supply, SEK millions 2017M05","Money supply, SEK millions 2017M06","Money supply, SEK millions 2017M07","Money supply, SEK millions 2017M08","Money supply, SEK millions 2017M09","Money supply, SEK millions 2017M10","Money supply, SEK millions 2017M11","Money supply, SEK millions 2017M12","Money supply, SEK millions 2018M01","Money supply, SEK millions 2018M02","Money supply, SEK millions 2018M03","Money supply, SEK millions 2018M04","Money supply, SEK millions 2018M05","Money supply, SEK millions 2018M06","Money supply, SEK millions 2018M07","Money supply, SEK millions 2018M08","Money supply, SEK millions 2018M09","Money supply, SEK millions 2018M10","Money supply, SEK millions 2018M11","Money supply, SEK millions 2018M12","Money supply, SEK millions 2019M01","Money supply, SEK millions 2019M02","Money supply, SEK millions 2019M03","Money supply, SEK millions 2019M04","Money supply, SEK millions 2019M05","Money supply, SEK millions 2019M06"
"M1",920985,912830,918925,910900,916717,933178,907218,917056,931977,919290,932773,941136,953553,953505,969047,984212,997849,1037010,1012640,1005836,1024018,1047333,1046084,1069390,1099514,1086492,1069081,1092516,1091928,1113250,1098387,1131434,1146288,1154098,1161548,1191929,1187293,1168378,1198200,1220773,1215107,1255243,1225618,1246154,1255380,1252468,1252147,1289489,1296195,1284176,1288642,1278145,1277417,1286112,1271762,1267742,1287430,1281192,1297478,1373394,1377273,1338076,1368959,1366017,1369436,1397760,1378759,1402591,1409197,1418950,1420283,1485962,1481234,1464407,1469655,1473816,1454787,1495470,1489560,1474260,1493644,1515118,1545356,1584653,1565429,1515993,1518918,1523139,1503499,1550261,1520029,1530461,1554657,1559806,1547710,1598424,1615315,1588571,1595879,1588016,1564203,1627322,1598986,1596757,1643918,1630527,1642619,1692502,1690753,1658545,1704478,1693212,1684251,1732943,1714564,1715904,1744889,1745243,1772748,1844896,1838447,1820909,1828469,1846699,1854943,1898393,1880910,1894250,1918968,1936130,1961276,2025780,2011522,2027026,2084830,2097635,2134546,2186979,2170477,2172704,2192742,2231726,2248613,2282597,2303170,2292976,2331511,2348899,2343550,2376683,2398723,2400594,2436533,2451917,2473823,2488274,2531676,2518778,2599341,2591692,2597980,2655158,2660283,2653300,2676846,2685215,2698121,2692906,2745496,2722031,2775970,2790437,2779279,2857670,2828280,2822108,2867628,2859164,2906436,2898056,2927595,2925570,2971991,2957768,2982993,3053249
"M3",1290503,1281579,1269561,1257593,1244451,1253884,1260067,1270022,1329793,1328835,1345272,1360279,1345439,1347047,1345842,1328926,1338291,1416856,1402545,1420867,1442514,1498528,1475573,1533038,1532541,1507650,1539448,1558070,1558572,1653888,1645810,1683039,1708882,1705706,1711081,1762550,1782196,1769848,1781949,1794512,1802040,1867760,1844996,1926855,1984698,2042365,2067420,2089485,2029296,2014474,2030426,2087093,2065673,2051509,2073406,2090850,2060333,2063665,2064384,2164492,2145620,2139551,2097672,2118880,2116647,2096402,2073618,2092389,2073889,2094742,2114653,2135298,2150835,2132713,2121598,2113307,2114630,2125772,2155264,2129019,2159185,2178687,2182083,2188006,2179659,2139999,2172324,2143113,2143158,2209010,2183956,2225132,2284103,2292525,2298011,2339371,2395003,2366737,2374874,2354730,2321176,2346213,2319450,2330125,2390875,2367563,2367867,2412372,2413429,2377548,2397290,2369867,2387868,2449436,2412358,2401481,2422066,2435890,2463676,2487778,2468306,2457550,2466666,2469692,2485464,2557125,2530460,2511940,2553883,2553329,2559306,2589790,2571024,2582492,2616459,2629074,2661959,2718829,2707501,2705635,2715715,2765179,2763181,2787814,2824921,2809973,2846216,2863037,2858849,2903905,2932701,2938317,2955449,2975487,3010772,2997943,3113095,3077828,3142133,3157133,3145135,3229497,3206819,3220833,3256637,3250910,3279736,3239199,3278389,3270898,3341346,3357129,3322917,3405335,3370568,3366092,3402543,3398355,3435669,3429201,3495255,3490938,3522955,3520524,3572739,3621232
